    # M_init       log T       log L       log g    log T WR  Source    
    # (Msun)    (Kelvin)      (Lsun)          ()    (Kelvin)  ()        
    0.100000      3.4714     -1.1676      3.5163      3.4714  Siess     
    0.105000      3.4733     -1.1462      3.5239      3.4733  Siess     
    0.110000      3.4750     -1.1258      3.5311      3.4750  Siess     
    0.115000      3.4767     -1.1064      3.5380      3.4767  Siess     
    0.120000      3.4784     -1.0877      3.5446      3.4784  Siess     
    0.125000      3.4799     -1.0698      3.5509      3.4799  Siess     
    0.130000      3.4814     -1.0526      3.5570      3.4814  Siess     
    0.135000      3.4831     -1.0396      3.5672      3.4831  Siess     
    0.140000      3.4848     -1.0270      3.5770      3.4848  Siess     
    0.145000      3.4864     -1.0148      3.5864      3.4864  Siess     
    0.150000      3.4879     -1.0031      3.5955      3.4879  Siess     
    0.155000      3.4894     -0.9917      3.6044      3.4894  Siess     
    0.160000      3.4908     -0.9807      3.6129      3.4908  Siess     
    0.165000      3.4927     -0.9802      3.6344      3.4927  Siess     
    0.170000      3.4946     -0.9796      3.6552      3.4946  Siess     
    0.175000      3.4964     -0.9791      3.6754      3.4964  Siess     
    0.180000      3.4981     -0.9786      3.6951      3.4981  Siess     
    0.185000      3.4999     -0.9781      3.7142      3.4999  Siess     
    0.190000      3.5015     -0.9776      3.7328      3.5015  Siess     
    0.195000      3.5032     -0.9771      3.7510      3.5032  Siess     
    0.200000      3.5047     -0.9766      3.7686      3.5047  Siess     
    0.205000      3.5062     -0.9651      3.7730      3.5062  Siess     
    0.210000      3.5076     -0.9539      3.7772      3.5076  Siess     
    0.215000      3.5090     -0.9429      3.7814      3.5090  Siess     
    0.220000      3.5103     -0.9322      3.7854      3.5103  Siess     
    0.225000      3.5117     -0.9217      3.7894      3.5117  Siess     
    0.230000      3.5130     -0.9115      3.7933      3.5130  Siess     
    0.235000      3.5142     -0.9015      3.7970      3.5142  Siess     
    0.240000      3.5155     -0.8917      3.8007      3.5155  Siess     
    0.245000      3.5167     -0.8821      3.8044      3.5167  Siess     
    0.250000      3.5179     -0.8726      3.8079      3.5179  Siess     
    0.255000      3.5194     -0.8658      3.8148      3.5194  Siess     
    0.260000      3.5209     -0.8591      3.8215      3.5209  Siess     
    0.265000      3.5224     -0.8525      3.8281      3.5224  Siess     
    0.270000      3.5239     -0.8460      3.8345      3.5239  Siess     
    0.275000      3.5253     -0.8396      3.8408      3.5253  Siess     
    0.280000      3.5267     -0.8334      3.8471      3.5267  Siess     
    0.285000      3.5281     -0.8272      3.8532      3.5281  Siess     
    0.290000      3.5294     -0.8212      3.8592      3.5294  Siess     
    0.295000      3.5308     -0.8153      3.8651      3.5308  Siess     
    0.300000      3.5321     -0.8095      3.8709      3.5321  Siess     
    0.305000      3.5335     -0.8002      3.8741      3.5335  Siess     
    0.310000      3.5350     -0.7911      3.8773      3.5350  Siess     
    0.315000      3.5364     -0.7821      3.8804      3.5364  Siess     
    0.320000      3.5378     -0.7733      3.8834      3.5378  Siess     
    0.325000      3.5392     -0.7646      3.8865      3.5392  Siess     
    0.330000      3.5405     -0.7560      3.8894      3.5405  Siess     
    0.335000      3.5418     -0.7476      3.8923      3.5418  Siess     
    0.340000      3.5432     -0.7393      3.8952      3.5432  Siess     
    0.345000      3.5444     -0.7311      3.8981      3.5444  Siess     
    0.350000      3.5457     -0.7230      3.9009      3.5457  Siess     
    0.355000      3.5470     -0.7150      3.9036      3.5470  Siess     
    0.360000      3.5482     -0.7072      3.9063      3.5482  Siess     
    0.365000      3.5494     -0.6995      3.9090      3.5494  Siess     
    0.370000      3.5506     -0.6918      3.9117      3.5506  Siess     
    0.375000      3.5518     -0.6843      3.9143      3.5518  Siess     
    0.380000      3.5530     -0.6769      3.9168      3.5530  Siess     
    0.385000      3.5542     -0.6695      3.9194      3.5542  Siess     
    0.390000      3.5553     -0.6623      3.9219      3.5553  Siess     
    0.395000      3.5564     -0.6552      3.9244      3.5564  Siess     
