    # M_init       log T       log L       log g    log T WR  Source    
    # (Msun)    (Kelvin)      (Lsun)          ()    (Kelvin)  ()        
    0.100000      3.4882     -1.7753      4.2222      3.4882  Siess     
    0.105000      3.4901     -1.7437      4.2194      3.4901  Siess     
    0.110000      3.4920     -1.7137      4.2167      3.4920  Siess     
    0.115000      3.4938     -1.6850      4.2141      3.4938  Siess     
    0.120000      3.4955     -1.6575      4.2117      3.4955  Siess     
    0.125000      3.4972     -1.6311      4.2093      3.4972  Siess     
    0.130000      3.4987     -1.6057      4.2071      3.4987  Siess     
    0.135000      3.5003     -1.5856      4.2084      3.5003  Siess     
    0.140000      3.5017     -1.5662      4.2097      3.5017  Siess     
    0.145000      3.5031     -1.5475      4.2109      3.5031  Siess     
    0.150000      3.5045     -1.5294      4.2121      3.5045  Siess     
    0.155000      3.5058     -1.5119      4.2133      3.5058  Siess     
    0.160000      3.5071     -1.4949      4.2144      3.5071  Siess     
    0.165000      3.5085     -1.4793      4.2173      3.5085  Siess     
    0.170000      3.5099     -1.4642      4.2200      3.5099  Siess     
    0.175000      3.5113     -1.4495      4.2227      3.5113  Siess     
    0.180000      3.5126     -1.4352      4.2253      3.5126  Siess     
    0.185000      3.5139     -1.4213      4.2279      3.5139  Siess     
    0.190000      3.5152     -1.4078      4.2303      3.5152  Siess     
    0.195000      3.5164     -1.3946      4.2327      3.5164  Siess     
    0.200000      3.5176     -1.3817      4.2351      3.5176  Siess     
    0.205000      3.5190     -1.3674      4.2357      3.5190  Siess     
    0.210000      3.5203     -1.3533      4.2363      3.5203  Siess     
    0.215000      3.5216     -1.3396      4.2369      3.5216  Siess     
    0.220000      3.5229     -1.3262      4.2375      3.5229  Siess     
    0.225000      3.5242     -1.3131      4.2381      3.5242  Siess     
    0.230000      3.5254     -1.3003      4.2387      3.5254  Siess     
    0.235000      3.5266     -1.2878      4.2393      3.5266  Siess     
    0.240000      3.5277     -1.2755      4.2398      3.5277  Siess     
    0.245000      3.5289     -1.2635      4.2403      3.5289  Siess     
    0.250000      3.5300     -1.2517      4.2409      3.5300  Siess     
    0.255000      3.5313     -1.2407      4.2422      3.5313  Siess     
    0.260000      3.5325     -1.2300      4.2435      3.5325  Siess     
    0.265000      3.5337     -1.2194      4.2447      3.5337  Siess     
    0.270000      3.5348     -1.2091      4.2459      3.5348  Siess     
    0.275000      3.5360     -1.1989      4.2471      3.5360  Siess     
    0.280000      3.5371     -1.1889      4.2483      3.5371  Siess     
    0.285000      3.5382     -1.1791      4.2495      3.5382  Siess     
    0.290000      3.5393     -1.1695      4.2506      3.5393  Siess     
    0.295000      3.5404     -1.1600      4.2518      3.5404  Siess     
    0.300000      3.5415     -1.1507      4.2529      3.5415  Siess     
    0.305000      3.5426     -1.1407      4.2545      3.5426  Siess     
    0.310000      3.5438     -1.1308      4.2561      3.5438  Siess     
    0.315000      3.5449     -1.1211      4.2577      3.5449  Siess     
    0.320000      3.5460     -1.1116      4.2593      3.5460  Siess     
    0.325000      3.5470     -1.1022      4.2608      3.5470  Siess     
    0.330000      3.5481     -1.0930      4.2624      3.5481  Siess     
    0.335000      3.5492     -1.0838      4.2639      3.5492  Siess     
    0.340000      3.5502     -1.0749      4.2653      3.5502  Siess     
    0.345000      3.5512     -1.0660      4.2668      3.5512  Siess     
    0.350000      3.5522     -1.0573      4.2682      3.5522  Siess     
    0.355000      3.5532     -1.0487      4.2696      3.5532  Siess     
    0.360000      3.5542     -1.0402      4.2710      3.5542  Siess     
    0.365000      3.5551     -1.0319      4.2724      3.5551  Siess     
    0.370000      3.5561     -1.0236      4.2738      3.5561  Siess     
    0.375000      3.5570     -1.0155      4.2751      3.5570  Siess     
    0.380000      3.5579     -1.0075      4.2764      3.5579  Siess     
    0.385000      3.5589     -0.9996      4.2777      3.5589  Siess     
    0.390000      3.5598     -0.9918      4.2790      3.5598  Siess     
    0.395000      3.5606     -0.9840      4.2803      3.5606  Siess     
    0.400000      3.5615     -0.9764      4.2815      3.5615  Siess     
    0.405000      3.5623     -0.9684      4.2829      3.5623  Siess     
    0.410000      3.5631     -0.9605      4.2843      3.5631  Siess     
    0.415000      3.5639     -0.9526      4.2856      3.5639  Siess     
    0.420000      3.5646     -0.9449      4.2869      3.5646  Siess     
    0.425000      3.5654     -0.9372      4.2883      3.5654  Siess     
    0.430000      3.5661     -0.9297      4.2896      3.5661  Siess     
    0.435000      3.5668     -0.9222      4.2908      3.5668  Siess     
    0.440000      3.5676     -0.9148      4.2921      3.5676  Siess     
    0.445000      3.5683     -0.9075      4.2934      3.5683  Siess     
    0.450000      3.5690     -0.9003      4.2946      3.5690  Siess     
    0.455000      3.5697     -0.8932      4.2958      3.5697  Siess     
    0.460000      3.5704     -0.8861      4.2970      3.5704  Siess     
    0.465000      3.5711     -0.8791      4.2982      3.5711  Siess     
    0.470000      3.5718     -0.8722      4.2994      3.5718  Siess     
    0.475000      3.5724     -0.8654      4.3006      3.5724  Siess     
    0.480000      3.5731     -0.8586      4.3018      3.5731  Siess     
    0.485000      3.5738     -0.8519      4.3029      3.5738  Siess     
    0.490000      3.5744     -0.8453      4.3041      3.5744  Siess     
    0.495000      3.5750     -0.8387      4.3052      3.5750  Siess     
    0.500000      3.5757     -0.8322      4.3063      3.5757  Siess     
    0.505000      3.5763     -0.8257      4.3068      3.5763  Siess     
    0.510000      3.5769     -0.8192      4.3072      3.5769  Siess     
    0.515000      3.5775     -0.8128      4.3077      3.5775  Siess     
    0.520000      3.5781     -0.8064      4.3081      3.5781  Siess     
    0.525000      3.5786     -0.8001      4.3086      3.5786  Siess     
    0.530000      3.5792     -0.7939      4.3090      3.5792  Siess     
