    # M_init       log T       log L       log g    log T WR  Source    
    # (Msun)    (Kelvin)      (Lsun)          ()    (Kelvin)  ()        
    0.100000      3.4858     -1.6077      4.0351      3.4858  Siess     
    0.105000      3.4875     -1.5765      4.0318      3.4875  Siess     
    0.110000      3.4892     -1.5468      4.0286      3.4892  Siess     
    0.115000      3.4908     -1.5184      4.0255      3.4908  Siess     
    0.120000      3.4923     -1.4912      4.0226      3.4923  Siess     
    0.125000      3.4938     -1.4652      4.0198      3.4938  Siess     
    0.130000      3.4952     -1.4401      4.0172      3.4952  Siess     
    0.135000      3.4968     -1.4231      4.0232      3.4968  Siess     
    0.140000      3.4982     -1.4068      4.0290      3.4982  Siess     
    0.145000      3.4997     -1.3910      4.0346      3.4997  Siess     
    0.150000      3.5010     -1.3757      4.0400      3.5010  Siess     
    0.155000      3.5024     -1.3610      4.0453      3.5024  Siess     
    0.160000      3.5037     -1.3467      4.0503      3.5037  Siess     
    0.165000      3.5051     -1.3333      4.0557      3.5051  Siess     
    0.170000      3.5065     -1.3204      4.0609      3.5065  Siess     
    0.175000      3.5078     -1.3078      4.0660      3.5078  Siess     
    0.180000      3.5091     -1.2956      4.0709      3.5091  Siess     
    0.185000      3.5104     -1.2837      4.0757      3.5104  Siess     
    0.190000      3.5116     -1.2721      4.0803      3.5116  Siess     
    0.195000      3.5128     -1.2608      4.0849      3.5128  Siess     
    0.200000      3.5139     -1.2498      4.0893      3.5139  Siess     
    0.205000      3.5153     -1.2361      4.0907      3.5153  Siess     
    0.210000      3.5167     -1.2227      4.0921      3.5167  Siess     
    0.215000      3.5180     -1.2096      4.0935      3.5180  Siess     
    0.220000      3.5193     -1.1969      4.0948      3.5193  Siess     
    0.225000      3.5205     -1.1844      4.0961      3.5205  Siess     
    0.230000      3.5217     -1.1722      4.0974      3.5217  Siess     
    0.235000      3.5229     -1.1602      4.0987      3.5229  Siess     
    0.240000      3.5241     -1.1485      4.0999      3.5241  Siess     
    0.245000      3.5253     -1.1371      4.1011      3.5253  Siess     
    0.250000      3.5264     -1.1258      4.1023      3.5264  Siess     
    0.255000      3.5277     -1.1158      4.1050      3.5277  Siess     
    0.260000      3.5290     -1.1059      4.1077      3.5290  Siess     
    0.265000      3.5302     -1.0963      4.1103      3.5302  Siess     
    0.270000      3.5314     -1.0868      4.1128      3.5314  Siess     
    0.275000      3.5326     -1.0775      4.1154      3.5326  Siess     
    0.280000      3.5338     -1.0683      4.1179      3.5338  Siess     
    0.285000      3.5349     -1.0593      4.1203      3.5349  Siess     
    0.290000      3.5361     -1.0505      4.1227      3.5361  Siess     
    0.295000      3.5372     -1.0418      4.1250      3.5372  Siess     
    0.300000      3.5383     -1.0333      4.1273      3.5383  Siess     
    0.305000      3.5395     -1.0234      4.1290      3.5395  Siess     
    0.310000      3.5408     -1.0137      4.1306      3.5408  Siess     
    0.315000      3.5420     -1.0042      4.1321      3.5420  Siess     
    0.320000      3.5432     -0.9948      4.1337      3.5432  Siess     
    0.325000      3.5443     -0.9855      4.1352      3.5443  Siess     
    0.330000      3.5455     -0.9764      4.1367      3.5455  Siess     
    0.335000      3.5466     -0.9674      4.1382      3.5466  Siess     
    0.340000      3.5477     -0.9586      4.1396      3.5477  Siess     
    0.345000      3.5489     -0.9499      4.1410      3.5489  Siess     
    0.350000      3.5499     -0.9413      4.1424      3.5499  Siess     
    0.355000      3.5510     -0.9328      4.1438      3.5510  Siess     
    0.360000      3.5521     -0.9245      4.1452      3.5521  Siess     
    0.365000      3.5531     -0.9162      4.1466      3.5531  Siess     
    0.370000      3.5542     -0.9081      4.1479      3.5542  Siess     
    0.375000      3.5552     -0.9001      4.1492      3.5552  Siess     
    0.380000      3.5562     -0.8922      4.1505      3.5562  Siess     
    0.385000      3.5572     -0.8844      4.1518      3.5572  Siess     
    0.390000      3.5581     -0.8767      4.1530      3.5581  Siess     
    0.395000      3.5591     -0.8691      4.1543      3.5591  Siess     
    0.400000      3.5601     -0.8616      4.1555      3.5601  Siess     
    0.405000      3.5609     -0.8536      4.1570      3.5609  Siess     
    0.410000      3.5617     -0.8458      4.1584      3.5617  Siess     
    0.415000      3.5626     -0.8380      4.1598      3.5626  Siess     
    0.420000      3.5634     -0.8304      4.1612      3.5634  Siess     
    0.425000      3.5642     -0.8228      4.1626      3.5642  Siess     
    0.430000      3.5650     -0.8153      4.1639      3.5650  Siess     
    0.435000      3.5657     -0.8079      4.1653      3.5657  Siess     
    0.440000      3.5665     -0.8006      4.1666      3.5665  Siess     
    0.445000      3.5673     -0.7934      4.1679      3.5673  Siess     
    0.450000      3.5680     -0.7863      4.1692      3.5680  Siess     
    0.455000      3.5688     -0.7792      4.1705      3.5688  Siess     
    0.460000      3.5695     -0.7722      4.1717      3.5695  Siess     
    0.465000      3.5703     -0.7653      4.1730      3.5703  Siess     
    0.470000      3.5710     -0.7585      4.1742      3.5710  Siess     
    0.475000      3.5717     -0.7517      4.1755      3.5717  Siess     
    0.480000      3.5724     -0.7450      4.1767      3.5724  Siess     
    0.485000      3.5731     -0.7384      4.1779      3.5731  Siess     
    0.490000      3.5738     -0.7318      4.1791      3.5738  Siess     
    0.495000      3.5745     -0.7253      4.1803      3.5745  Siess     
    0.500000      3.5752     -0.7189      4.1814      3.5752  Siess     
    0.505000      3.5759     -0.7124      4.1825      3.5759  Siess     
    0.510000      3.5765     -0.7059      4.1836      3.5765  Siess     
    0.515000      3.5772     -0.6995      4.1846      3.5772  Siess     
    0.520000      3.5778     -0.6932      4.1857      3.5778  Siess     
    0.525000      3.5785     -0.6869      4.1867      3.5785  Siess     
    0.530000      3.5791     -0.6807      4.1877      3.5791  Siess     
    0.535000      3.5797     -0.6746      4.1887      3.5797  Siess     
    0.540000      3.5804     -0.6685      4.1897      3.5804  Siess     
