    # M_init       log T       log L       log g    log T WR  Source    
    # (Msun)    (Kelvin)      (Lsun)          ()    (Kelvin)  ()        
    0.100000      3.4887     -2.0419      4.4935      3.4887  Siess     
    0.105000      3.4911     -2.0094      4.4923      3.4911  Siess     
    0.110000      3.4933     -1.9784      4.4912      3.4933  Siess     
    0.115000      3.4955     -1.9488      4.4902      3.4955  Siess     
    0.120000      3.4975     -1.9205      4.4892      3.4975  Siess     
    0.125000      3.4995     -1.8933      4.4882      3.4995  Siess     
    0.130000      3.5014     -1.8672      4.4873      3.5014  Siess     
    0.135000      3.5031     -1.8446      4.4881      3.5031  Siess     
    0.140000      3.5048     -1.8228      4.4888      3.5048  Siess     
    0.145000      3.5064     -1.8018      4.4895      3.5064  Siess     
    0.150000      3.5079     -1.7816      4.4902      3.5079  Siess     
    0.155000      3.5094     -1.7620      4.4909      3.5094  Siess     
    0.160000      3.5108     -1.7430      4.4915      3.5108  Siess     
    0.165000      3.5123     -1.7252      4.4919      3.5123  Siess     
    0.170000      3.5138     -1.7079      4.4922      3.5138  Siess     
    0.175000      3.5152     -1.6911      4.4926      3.5152  Siess     
    0.180000      3.5165     -1.6748      4.4929      3.5165  Siess     
    0.185000      3.5178     -1.6590      4.4932      3.5178  Siess     
    0.190000      3.5191     -1.6436      4.4935      3.5191  Siess     
    0.195000      3.5203     -1.6286      4.4938      3.5203  Siess     
    0.200000      3.5216     -1.6139      4.4941      3.5216  Siess     
    0.205000      3.5230     -1.5988      4.4941      3.5230  Siess     
    0.210000      3.5244     -1.5841      4.4941      3.5244  Siess     
    0.215000      3.5258     -1.5697      4.4941      3.5258  Siess     
    0.220000      3.5272     -1.5556      4.4940      3.5272  Siess     
    0.225000      3.5285     -1.5419      4.4940      3.5285  Siess     
    0.230000      3.5298     -1.5284      4.4940      3.5298  Siess     
    0.235000      3.5311     -1.5153      4.4940      3.5311  Siess     
    0.240000      3.5323     -1.5024      4.4939      3.5323  Siess     
