    # M_init       log T       log L       log g    log T WR  Source    
    # (Msun)    (Kelvin)      (Lsun)          ()    (Kelvin)  ()        
    0.100000      3.4670     -1.0765      3.4000      3.4670  Siess     
    0.105000      3.4696     -1.0705      3.4279      3.4696  Siess     
    0.110000      3.4722     -1.0649      3.4545      3.4722  Siess     
    0.115000      3.4745     -1.0594      3.4799      3.4745  Siess     
    0.120000      3.4768     -1.0542      3.5042      3.4768  Siess     
    0.125000      3.4790     -1.0493      3.5276      3.4790  Siess     
    0.130000      3.4812     -1.0445      3.5500      3.4812  Siess     
    0.135000      3.4820     -1.0093      3.5318      3.4820  Siess     
    0.140000      3.4828     -0.9754      3.5143      3.4828  Siess     
    0.145000      3.4836     -0.9426      3.4974      3.4836  Siess     
    0.150000      3.4843     -0.9110      3.4811      3.4843  Siess     
    0.155000      3.4850     -0.8805      3.4653      3.4850  Siess     
    0.160000      3.4857     -0.8509      3.4500      3.4857  Siess     
    0.165000      3.4861     -0.8081      3.4210      3.4861  Siess     
    0.170000      3.4866     -0.7665      3.3929      3.4866  Siess     
    0.175000      3.4870     -0.7262      3.3657      3.4870  Siess     
    0.180000      3.4874     -0.6871      3.3392      3.4874  Siess     
    0.185000      3.4877     -0.6489      3.3134      3.4877  Siess     
    0.190000      3.4881     -0.6119      3.2883      3.4881  Siess     
    0.195000      3.4885     -0.5757      3.2638      3.4885  Siess     
    0.200000      3.4888     -0.5405      3.2400      3.4888  Siess     
    0.205000      3.4909     -0.5264      3.2454      3.4909  Siess     
    0.210000      3.4929     -0.5127      3.2506      3.4929  Siess     
    0.215000      3.4949     -0.4992      3.2558      3.4949  Siess     
    0.220000      3.4968     -0.4861      3.2608      3.4968  Siess     
    0.225000      3.4987     -0.4733      3.2657      3.4987  Siess     
    0.230000      3.5006     -0.4607      3.2705      3.5006  Siess     
    0.235000      3.5024     -0.4484      3.2752      3.5024  Siess     
    0.240000      3.5042     -0.4364      3.2797      3.5042  Siess     
    0.245000      3.5059     -0.4246      3.2842      3.5059  Siess     
    0.250000      3.5076     -0.4131      3.2887      3.5076  Siess     
    0.255000      3.5096     -0.4086      3.3005      3.5096  Siess     
    0.260000      3.5116     -0.4042      3.3122      3.5116  Siess     
    0.265000      3.5136     -0.3999      3.3236      3.5136  Siess     
    0.270000      3.5155     -0.3956      3.3348      3.5155  Siess     
    0.275000      3.5174     -0.3915      3.3458      3.5174  Siess     
    0.280000      3.5192     -0.3874      3.3566      3.5192  Siess     
    0.285000      3.5211     -0.3834      3.3672      3.5211  Siess     
    0.290000      3.5229     -0.3794      3.3777      3.5229  Siess     
    0.295000      3.5246     -0.3755      3.3879      3.5246  Siess     
    0.300000      3.5263     -0.3717      3.3980      3.5263  Siess     
    0.305000      3.5280     -0.3671      3.4072      3.5280  Siess     
    0.310000      3.5297     -0.3626      3.4162      3.5297  Siess     
    0.315000      3.5313     -0.3582      3.4250      3.5313  Siess     
    0.320000      3.5329     -0.3539      3.4338      3.5329  Siess     
    0.325000      3.5344     -0.3496      3.4424      3.5344  Siess     
    0.330000      3.5360     -0.3453      3.4508      3.5360  Siess     
    0.335000      3.5375     -0.3412      3.4591      3.5375  Siess     
    0.340000      3.5390     -0.3371      3.4674      3.5390  Siess     
    0.345000      3.5405     -0.3331      3.4754      3.5405  Siess     
    0.350000      3.5419     -0.3291      3.4834      3.5419  Siess     
    0.355000      3.5434     -0.3252      3.4913      3.5434  Siess     
    0.360000      3.5448     -0.3213      3.4990      3.5448  Siess     
    0.365000      3.5462     -0.3175      3.5067      3.5462  Siess     
    0.370000      3.5476     -0.3137      3.5142      3.5476  Siess     
    0.375000      3.5489     -0.3100      3.5217      3.5489  Siess     
    0.380000      3.5503     -0.3063      3.5290      3.5503  Siess     
    0.385000      3.5516     -0.3027      3.5362      3.5516  Siess     
    0.390000      3.5529     -0.2991      3.5434      3.5529  Siess     
    0.395000      3.5542     -0.2956      3.5505      3.5542  Siess     
    0.400000      3.5554     -0.2921      3.5574      3.5554  Siess     
    0.405000      3.5566     -0.2860      3.5615      3.5566  Siess     
    0.410000      3.5577     -0.2799      3.5655      3.5577  Siess     
    0.415000      3.5588     -0.2739      3.5695      3.5588  Siess     
    0.420000      3.5599     -0.2679      3.5735      3.5599  Siess     
    0.425000      3.5609     -0.2621      3.5774      3.5609  Siess     
    0.430000      3.5620     -0.2563      3.5812      3.5620  Siess     
    0.435000      3.5630     -0.2505      3.5850      3.5630  Siess     
    0.440000      3.5640     -0.2449      3.5888      3.5640  Siess     
    0.445000      3.5651     -0.2393      3.5925      3.5651  Siess     
    0.450000      3.5661     -0.2337      3.5962      3.5661  Siess     
    0.455000      3.5671     -0.2282      3.5998      3.5671  Siess     
    0.460000      3.5681     -0.2228      3.6034      3.5681  Siess     
    0.465000      3.5690     -0.2175      3.6069      3.5690  Siess     
    0.470000      3.5700     -0.2122      3.6105      3.5700  Siess     
    0.475000      3.5710     -0.2069      3.6139      3.5710  Siess     
    0.480000      3.5719     -0.2017      3.6174      3.5719  Siess     
    0.485000      3.5728     -0.1966      3.6208      3.5728  Siess     
    0.490000      3.5738     -0.1915      3.6242      3.5738  Siess     
    0.495000      3.5747     -0.1864      3.6275      3.5747  Siess     
    0.500000      3.5756     -0.1815      3.6308      3.5756  Siess     
    0.505000      3.5764     -0.1757      3.6327      3.5764  Siess     
    0.510000      3.5773     -0.1699      3.6347      3.5773  Siess     
