    # M_init       log T       log L       log g    log T WR  Source    
    # (Msun)    (Kelvin)      (Lsun)          ()    (Kelvin)  ()        
    0.100000      3.4879     -1.7564      4.2008      3.4879  Siess     
    0.105000      3.4898     -1.7250      4.1980      3.4898  Siess     
    0.110000      3.4917     -1.6950      4.1953      3.4917  Siess     
    0.115000      3.4934     -1.6663      4.1928      3.4934  Siess     
    0.120000      3.4951     -1.6389      4.1903      3.4951  Siess     
    0.125000      3.4967     -1.6126      4.1880      3.4967  Siess     
    0.130000      3.4983     -1.5873      4.1857      3.4983  Siess     
    0.135000      3.4998     -1.5675      4.1876      3.4998  Siess     
    0.140000      3.5013     -1.5485      4.1895      3.5013  Siess     
    0.145000      3.5027     -1.5301      4.1913      3.5027  Siess     
    0.150000      3.5040     -1.5124      4.1930      3.5040  Siess     
    0.155000      3.5054     -1.4952      4.1946      3.5054  Siess     
    0.160000      3.5066     -1.4786      4.1962      3.5066  Siess     
    0.165000      3.5081     -1.4632      4.1995      3.5081  Siess     
    0.170000      3.5095     -1.4484      4.2027      3.5095  Siess     
    0.175000      3.5109     -1.4340      4.2057      3.5109  Siess     
    0.180000      3.5123     -1.4199      4.2087      3.5123  Siess     
    0.185000      3.5136     -1.4063      4.2116      3.5136  Siess     
    0.190000      3.5149     -1.3930      4.2144      3.5149  Siess     
    0.195000      3.5161     -1.3801      4.2172      3.5161  Siess     
    0.200000      3.5173     -1.3675      4.2199      3.5173  Siess     
    0.205000      3.5187     -1.3531      4.2205      3.5187  Siess     
    0.210000      3.5200     -1.3390      4.2211      3.5200  Siess     
    0.215000      3.5213     -1.3253      4.2216      3.5213  Siess     
    0.220000      3.5226     -1.3118      4.2222      3.5226  Siess     
    0.225000      3.5238     -1.2987      4.2228      3.5238  Siess     
    0.230000      3.5250     -1.2859      4.2233      3.5250  Siess     
    0.235000      3.5262     -1.2733      4.2238      3.5262  Siess     
    0.240000      3.5274     -1.2611      4.2243      3.5274  Siess     
    0.245000      3.5285     -1.2490      4.2248      3.5285  Siess     
    0.250000      3.5297     -1.2372      4.2253      3.5297  Siess     
    0.255000      3.5309     -1.2264      4.2268      3.5309  Siess     
    0.260000      3.5321     -1.2157      4.2283      3.5321  Siess     
    0.265000      3.5333     -1.2053      4.2297      3.5333  Siess     
    0.270000      3.5345     -1.1951      4.2311      3.5345  Siess     
    0.275000      3.5357     -1.1850      4.2324      3.5357  Siess     
    0.280000      3.5368     -1.1751      4.2338      3.5368  Siess     
    0.285000      3.5379     -1.1654      4.2351      3.5379  Siess     
    0.290000      3.5390     -1.1559      4.2364      3.5390  Siess     
    0.295000      3.5401     -1.1465      4.2377      3.5401  Siess     
    0.300000      3.5412     -1.1373      4.2389      3.5412  Siess     
    0.305000      3.5423     -1.1273      4.2404      3.5423  Siess     
    0.310000      3.5434     -1.1175      4.2419      3.5434  Siess     
    0.315000      3.5446     -1.1078      4.2433      3.5446  Siess     
    0.320000      3.5457     -1.0982      4.2447      3.5457  Siess     
    0.325000      3.5467     -1.0888      4.2461      3.5467  Siess     
    0.330000      3.5478     -1.0795      4.2475      3.5478  Siess     
    0.335000      3.5489     -1.0704      4.2488      3.5489  Siess     
    0.340000      3.5499     -1.0614      4.2502      3.5499  Siess     
