    # M_init       log T       log L       log g    log T WR  Source    
    # (Msun)    (Kelvin)      (Lsun)          ()    (Kelvin)  ()        
    0.100000      3.4818     -2.4288      4.8597      3.4818  Siess     
    0.105000      3.4850     -2.3935      4.8603      3.4850  Siess     
    0.110000      3.4880     -2.3598      4.8609      3.4880  Siess     
    0.115000      3.4909     -2.3277      4.8615      3.4909  Siess     
    0.120000      3.4937     -2.2969      4.8621      3.4937  Siess     
    0.125000      3.4963     -2.2674      4.8626      3.4963  Siess     
    0.130000      3.4989     -2.2390      4.8631      3.4989  Siess     
    0.135000      3.5009     -2.2139      4.8613      3.5009  Siess     
    0.140000      3.5029     -2.1896      4.8594      3.5029  Siess     
    0.145000      3.5048     -2.1663      4.8577      3.5048  Siess     
    0.150000      3.5067     -2.1437      4.8560      3.5067  Siess     
    0.155000      3.5085     -2.1218      4.8544      3.5085  Siess     
    0.160000      3.5102     -2.1006      4.8528      3.5102  Siess     
    0.165000      3.5118     -2.0811      4.8524      3.5118  Siess     
    0.170000      3.5133     -2.0621      4.8520      3.5133  Siess     
    0.175000      3.5148     -2.0437      4.8517      3.5148  Siess     
    0.180000      3.5163     -2.0258      4.8514      3.5163  Siess     
    0.185000      3.5177     -2.0084      4.8511      3.5177  Siess     
    0.190000      3.5190     -1.9915      4.8507      3.5190  Siess     
    0.195000      3.5203     -1.9750      4.8504      3.5203  Siess     
    0.200000      3.5216     -1.9589      4.8501      3.5216  Siess     
    0.205000      3.5233     -1.9431      4.8499      3.5233  Siess     
    0.210000      3.5250     -1.9277      4.8497      3.5250  Siess     
    0.215000      3.5266     -1.9126      4.8495      3.5266  Siess     
    0.220000      3.5282     -1.8979      4.8493      3.5282  Siess     
    0.225000      3.5298     -1.8835      4.8491      3.5298  Siess     
    0.230000      3.5313     -1.8694      4.8489      3.5313  Siess     
    0.235000      3.5328     -1.8557      4.8487      3.5328  Siess     
    0.240000      3.5342     -1.8422      4.8485      3.5342  Siess     
    0.245000      3.5357     -1.8290      4.8483      3.5357  Siess     
    0.250000      3.5371     -1.8161      4.8481      3.5371  Siess     
    0.255000      3.5383     -1.8029      4.8473      3.5383  Siess     
    0.260000      3.5394     -1.7899      4.8466      3.5394  Siess     
    0.265000      3.5406     -1.7772      4.8458      3.5406  Siess     
    0.270000      3.5417     -1.7647      4.8451      3.5417  Siess     
