    # M_init       log T       log L       log g    log T WR  Source    
    # (Msun)    (Kelvin)      (Lsun)          ()    (Kelvin)  ()        
    0.100000      3.4654     -1.0418      3.3592      3.4654  Siess     
    0.105000      3.4674     -1.0214      3.3675      3.4674  Siess     
    0.110000      3.4693     -1.0020      3.3754      3.4693  Siess     
    0.115000      3.4711     -0.9835      3.3830      3.4711  Siess     
    0.120000      3.4728     -0.9657      3.3903      3.4728  Siess     
    0.125000      3.4745     -0.9487      3.3972      3.4745  Siess     
    0.130000      3.4761     -0.9324      3.4039      3.4761  Siess     
    0.135000      3.4775     -0.9101      3.4040      3.4775  Siess     
    0.140000      3.4788     -0.8887      3.4042      3.4788  Siess     
    0.145000      3.4800     -0.8680      3.4043      3.4800  Siess     
    0.150000      3.4813     -0.8481      3.4044      3.4813  Siess     
    0.155000      3.4824     -0.8288      3.4045      3.4824  Siess     
    0.160000      3.4836     -0.8101      3.4046      3.4836  Siess     
    0.165000      3.4841     -0.7677      3.3764      3.4841  Siess     
    0.170000      3.4845     -0.7266      3.3490      3.4845  Siess     
    0.175000      3.4850     -0.6867      3.3225      3.4850  Siess     
    0.180000      3.4854     -0.6480      3.2966      3.4854  Siess     
    0.185000      3.4858     -0.6103      3.2715      3.4858  Siess     
    0.190000      3.4862     -0.5736      3.2470      3.4862  Siess     
    0.195000      3.4866     -0.5378      3.2232      3.4866  Siess     
    0.200000      3.4870     -0.5030      3.2000      3.4870  Siess     
    0.205000      3.4893     -0.4905      3.2066      3.4893  Siess     
    0.210000      3.4915     -0.4783      3.2131      3.4915  Siess     
    0.215000      3.4937     -0.4664      3.2194      3.4937  Siess     
    0.220000      3.4958     -0.4547      3.2256      3.4958  Siess     
    0.225000      3.4979     -0.4433      3.2317      3.4979  Siess     
    0.230000      3.4999     -0.4322      3.2376      3.4999  Siess     
    0.235000      3.5019     -0.4213      3.2434      3.5019  Siess     
    0.240000      3.5038     -0.4106      3.2490      3.5038  Siess     
    0.245000      3.5057     -0.4002      3.2546      3.5057  Siess     
    0.250000      3.5076     -0.3900      3.2600      3.5076  Siess     
    0.255000      3.5097     -0.3588      3.2457      3.5097  Siess     
    0.260000      3.5117     -0.3283      3.2317      3.5117  Siess     
    0.265000      3.5137     -0.2983      3.2179      3.5137  Siess     
    0.270000      3.5156     -0.2689      3.2044      3.5156  Siess     
    0.275000      3.5175     -0.2401      3.1912      3.5175  Siess     
    0.280000      3.5194     -0.2117      3.1782      3.5194  Siess     
    0.285000      3.5213     -0.1839      3.1654      3.5213  Siess     
    0.290000      3.5231     -0.1565      3.1528      3.5231  Siess     
    0.295000      3.5249     -0.1296      3.1405      3.5249  Siess     
    0.300000      3.5266     -0.1032      3.1284      3.5266  Siess     
    0.305000      3.5283     -0.0889      3.1283      3.5283  Siess     
    0.310000      3.5300     -0.0749      3.1282      3.5300  Siess     
    0.315000      3.5317     -0.0611      3.1281      3.5317  Siess     
    0.320000      3.5333     -0.0475      3.1280      3.5333  Siess     
    0.325000      3.5349     -0.0341      3.1279      3.5349  Siess     
    0.330000      3.5365     -0.0210      3.1278      3.5365  Siess     
    0.335000      3.5381     -0.0080      3.1277      3.5381  Siess     
    0.340000      3.5396      0.0048      3.1276      3.5396  Siess     
    0.345000      3.5411      0.0174      3.1276      3.5411  Siess     
    0.350000      3.5426      0.0298      3.1275      3.5426  Siess     
    0.355000      3.5441      0.0420      3.1274      3.5441  Siess     
    0.360000      3.5455      0.0541      3.1273      3.5455  Siess     
    0.365000      3.5469      0.0660      3.1272      3.5469  Siess     
    0.370000      3.5483      0.0777      3.1271      3.5483  Siess     
    0.375000      3.5497      0.0893      3.1271      3.5497  Siess     
    0.380000      3.5511      0.1007      3.1270      3.5511  Siess     
    0.385000      3.5525      0.1120      3.1269      3.5525  Siess     
    0.390000      3.5538      0.1232      3.1268      3.5538  Siess     
    0.395000      3.5551      0.1342      3.1268      3.5551  Siess     
    0.400000      3.5564      0.1450      3.1267      3.5564  Siess     
    0.405000      3.5576      0.1478      3.1341      3.5576  Siess     
    0.410000      3.5587      0.1506      3.1415      3.5587  Siess     
    0.415000      3.5598      0.1534      3.1487      3.5598  Siess     
    0.420000      3.5610      0.1561      3.1558      3.5610  Siess     
    0.425000      3.5621      0.1588      3.1629      3.5621  Siess     
    0.430000      3.5631      0.1615      3.1699      3.5631  Siess     
    0.435000      3.5642      0.1641      3.1768      3.5642  Siess     
    0.440000      3.5653      0.1667      3.1836      3.5653  Siess     
    0.445000      3.5663      0.1693      3.1904      3.5663  Siess     
    0.450000      3.5674      0.1719      3.1971      3.5674  Siess     
    0.455000      3.5684      0.1744      3.2037      3.5684  Siess     
    0.460000      3.5694      0.1769      3.2102      3.5694  Siess     
    0.465000      3.5704      0.1793      3.2166      3.5704  Siess     
    0.470000      3.5714      0.1818      3.2230      3.5714  Siess     
    0.475000      3.5724      0.1842      3.2294      3.5724  Siess     
    0.480000      3.5734      0.1866      3.2356      3.5734  Siess     
    0.485000      3.5743      0.1889      3.2418      3.5743  Siess     
    0.490000      3.5753      0.1913      3.2479      3.5753  Siess     
    0.495000      3.5762      0.1936      3.2540      3.5762  Siess     
    0.500000      3.5771      0.1959      3.2600      3.5771  Siess     
    0.505000      3.5780      0.1989      3.2645      3.5780  Siess     
    0.510000      3.5788      0.2019      3.2690      3.5788  Siess     
    0.515000      3.5796      0.2048      3.2735      3.5796  Siess     
    0.520000      3.5804      0.2077      3.2779      3.5804  Siess     
    0.525000      3.5812      0.2106      3.2822      3.5812  Siess     
    0.530000      3.5820      0.2135      3.2865      3.5820  Siess     
    0.535000      3.5828      0.2164      3.2908      3.5828  Siess     
    0.540000      3.5836      0.2192      3.2950      3.5836  Siess     
    0.545000      3.5844      0.2220      3.2992      3.5844  Siess     
    0.550000      3.5851      0.2247      3.3034      3.5851  Siess     
    0.555000      3.5859      0.2275      3.3075      3.5859  Siess     
    0.560000      3.5867      0.2302      3.3116      3.5867  Siess     
    0.565000      3.5874      0.2329      3.3157      3.5874  Siess     
    0.570000      3.5881      0.2356      3.3197      3.5881  Siess     
    0.575000      3.5889      0.2382      3.3236      3.5889  Siess     
    0.580000      3.5896      0.2408      3.3276      3.5896  Siess     
    0.585000      3.5903      0.2434      3.3315      3.5903  Siess     
    0.590000      3.5910      0.2460      3.3354      3.5910  Siess     
    0.595000      3.5917      0.2486      3.3392      3.5917  Siess     
    0.600000      3.5924      0.2511      3.3430      3.5924  Siess     
    0.605000      3.5930      0.2629      3.3372      3.5930  Siess     
    0.610000      3.5936      0.2747      3.3315      3.5936  Siess     
    0.615000      3.5942      0.2863      3.3258      3.5942  Siess     
    0.620000      3.5948      0.2978      3.3201      3.5948  Siess     
    0.625000      3.5954      0.3093      3.3145      3.5954  Siess     
    0.630000      3.5959      0.3206      3.3090      3.5959  Siess     
    0.635000      3.5965      0.3319      3.3034      3.5965  Siess     
    0.640000      3.5971      0.3431      3.2980      3.5971  Siess     
    0.645000      3.5976      0.3542      3.2925      3.5976  Siess     
    0.650000      3.5982      0.3652      3.2871      3.5982  Siess     
    0.655000      3.5987      0.3761      3.2818      3.5987  Siess     
    0.660000      3.5993      0.3869      3.2765      3.5993  Siess     
    0.665000      3.5998      0.3977      3.2712      3.5998  Siess     
    0.670000      3.6003      0.4084      3.2660      3.6003  Siess     
    0.675000      3.6009      0.4190      3.2608      3.6009  Siess     
    0.680000      3.6014      0.4295      3.2557      3.6014  Siess     
    0.685000      3.6019      0.4399      3.2505      3.6019  Siess     
    0.690000      3.6024      0.4503      3.2455      3.6024  Siess     
    0.695000      3.6030      0.4606      3.2404      3.6030  Siess     
    0.700000      3.6035      0.4708      3.2354      3.6035  Siess     
    0.705000      3.6041      0.4662      3.2454      3.6041  Siess     
    0.710000      3.6047      0.4617      3.2552      3.6047  Siess     
    0.715000      3.6053      0.4572      3.2650      3.6053  Siess     
    0.720000      3.6059      0.4527      3.2748      3.6059  Siess     
    0.725000      3.6065      0.4483      3.2844      3.6065  Siess     
    0.730000      3.6071      0.4439      3.2941      3.6071  Siess     
    0.735000      3.6077      0.4395      3.3036      3.6077  Siess     
    0.740000      3.6083      0.4352      3.3131      3.6083  Siess     
    0.745000      3.6089      0.4309      3.3225      3.6089  Siess     
    0.750000      3.6095      0.4266      3.3318      3.6095  Siess     
    0.755000      3.6101      0.4223      3.3411      3.6101  Siess     
    0.760000      3.6107      0.4181      3.3503      3.6107  Siess     
    0.765000      3.6113      0.4139      3.3595      3.6113  Siess     
    0.770000      3.6118      0.4097      3.3686      3.6118  Siess     
    0.775000      3.6124      0.4055      3.3776      3.6124  Siess     
    0.780000      3.6130      0.4014      3.3866      3.6130  Siess     
    0.785000      3.6135      0.3973      3.3956      3.6135  Siess     
    0.790000      3.6141      0.3933      3.4044      3.6141  Siess     
    0.795000      3.6146      0.3892      3.4132      3.6146  Siess     
    0.800000      3.6152      0.3852      3.4220      3.6152  Siess     
    0.805000      3.6156      0.3887      3.4229      3.6156  Siess     
    0.810000      3.6160      0.3921      3.4238      3.6160  Siess     
    0.815000      3.6165      0.3956      3.4247      3.6165  Siess     
    0.820000      3.6169      0.3990      3.4256      3.6169  Siess     
    0.825000      3.6173      0.4024      3.4265      3.6173  Siess     
    0.830000      3.6177      0.4058      3.4274      3.6177  Siess     
    0.835000      3.6181      0.4091      3.4283      3.6181  Siess     
    0.840000      3.6185      0.4125      3.4292      3.6185  Siess     
    0.845000      3.6189      0.4158      3.4301      3.6189  Siess     
    0.850000      3.6193      0.4191      3.4309      3.6193  Siess     
