    # M_init       log T       log L       log g    log T WR  Source    
    # (Msun)    (Kelvin)      (Lsun)          ()    (Kelvin)  ()        
    0.100000      3.4602     -0.9353      3.2282      3.4602  Siess     
    0.105000      3.4618     -0.9089      3.2293      3.4618  Siess     
    0.110000      3.4633     -0.8837      3.2304      3.4633  Siess     
    0.115000      3.4648     -0.8597      3.2315      3.4648  Siess     
    0.120000      3.4662     -0.8366      3.2325      3.4662  Siess     
    0.125000      3.4675     -0.8146      3.2334      3.4675  Siess     
    0.130000      3.4688     -0.7933      3.2343      3.4688  Siess     
    0.135000      3.4702     -0.7708      3.2334      3.4702  Siess     
    0.140000      3.4716     -0.7491      3.2324      3.4716  Siess     
    0.145000      3.4729     -0.7282      3.2315      3.4729  Siess     
    0.150000      3.4742     -0.7079      3.2307      3.4742  Siess     
    0.155000      3.4754     -0.6884      3.2298      3.4754  Siess     
    0.160000      3.4766     -0.6694      3.2290      3.4766  Siess     
    0.165000      3.4779     -0.6430      3.2211      3.4779  Siess     
    0.170000      3.4792     -0.6174      3.2134      3.4792  Siess     
    0.175000      3.4804     -0.5926      3.2059      3.4804  Siess     
    0.180000      3.4817     -0.5684      3.1986      3.4817  Siess     
    0.185000      3.4828     -0.5449      3.1915      3.4828  Siess     
    0.190000      3.4840     -0.5221      3.1846      3.4840  Siess     
    0.195000      3.4851     -0.4998      3.1779      3.4851  Siess     
    0.200000      3.4862     -0.4781      3.1713      3.4862  Siess     
    0.205000      3.4885     -0.4674      3.1800      3.4885  Siess     
    0.210000      3.4908     -0.4570      3.1885      3.4908  Siess     
    0.215000      3.4930     -0.4469      3.1968      3.4930  Siess     
    0.220000      3.4952     -0.4370      3.2049      3.4952  Siess     
    0.225000      3.4974     -0.4273      3.2129      3.4974  Siess     
    0.230000      3.4994     -0.4178      3.2206      3.4994  Siess     
    0.235000      3.5015     -0.4085      3.2282      3.5015  Siess     
    0.240000      3.5035     -0.3994      3.2356      3.5035  Siess     
    0.245000      3.5054     -0.3905      3.2429      3.5054  Siess     
    0.250000      3.5073     -0.3818      3.2500      3.5073  Siess     
    0.255000      3.5094     -0.3485      3.2337      3.5094  Siess     
    0.260000      3.5115     -0.3157      3.2177      3.5115  Siess     
    0.265000      3.5136     -0.2836      3.2021      3.5136  Siess     
    0.270000      3.5156     -0.2521      3.1867      3.5156  Siess     
    0.275000      3.5175     -0.2212      3.1716      3.5175  Siess     
    0.280000      3.5195     -0.1909      3.1568      3.5195  Siess     
    0.285000      3.5214     -0.1610      3.1422      3.5214  Siess     
    0.290000      3.5232     -0.1317      3.1279      3.5232  Siess     
    0.295000      3.5251     -0.1029      3.1138      3.5251  Siess     
    0.300000      3.5269     -0.0746      3.1000      3.5269  Siess     
    0.305000      3.5285     -0.0577      3.0971      3.5285  Siess     
    0.310000      3.5302     -0.0410      3.0943      3.5302  Siess     
    0.315000      3.5318     -0.0246      3.0915      3.5318  Siess     
    0.320000      3.5334     -0.0085      3.0888      3.5334  Siess     
    0.325000      3.5350      0.0074      3.0861      3.5350  Siess     
    0.330000      3.5366      0.0230      3.0834      3.5366  Siess     
    0.335000      3.5381      0.0384      3.0808      3.5381  Siess     
    0.340000      3.5396      0.0536      3.0782      3.5396  Siess     
    0.345000      3.5411      0.0685      3.0757      3.5411  Siess     
    0.350000      3.5426      0.0832      3.0732      3.5426  Siess     
    0.355000      3.5440      0.0978      3.0707      3.5440  Siess     
    0.360000      3.5454      0.1121      3.0683      3.5454  Siess     
    0.365000      3.5468      0.1262      3.0659      3.5468  Siess     
    0.370000      3.5482      0.1401      3.0635      3.5482  Siess     
    0.375000      3.5496      0.1539      3.0612      3.5496  Siess     
    0.380000      3.5510      0.1674      3.0589      3.5510  Siess     
    0.385000      3.5523      0.1808      3.0566      3.5523  Siess     
    0.390000      3.5536      0.1940      3.0544      3.5536  Siess     
    0.395000      3.5549      0.2071      3.0522      3.5549  Siess     
    0.400000      3.5562      0.2200      3.0500      3.5562  Siess     
    0.405000      3.5573      0.2312      3.0489      3.5573  Siess     
    0.410000      3.5584      0.2423      3.0478      3.5584  Siess     
    0.415000      3.5596      0.2532      3.0467      3.5596  Siess     
    0.420000      3.5606      0.2641      3.0456      3.5606  Siess     
    0.425000      3.5617      0.2748      3.0446      3.5617  Siess     
    0.430000      3.5628      0.2853      3.0435      3.5628  Siess     
    0.435000      3.5639      0.2958      3.0425      3.5639  Siess     
    0.440000      3.5649      0.3061      3.0415      3.5649  Siess     
    0.445000      3.5659      0.3163      3.0404      3.5659  Siess     
    0.450000      3.5670      0.3264      3.0394      3.5670  Siess     
    0.455000      3.5680      0.3364      3.0385      3.5680  Siess     
    0.460000      3.5690      0.3463      3.0375      3.5690  Siess     
    0.465000      3.5700      0.3561      3.0365      3.5700  Siess     
    0.470000      3.5709      0.3657      3.0355      3.5709  Siess     
    0.475000      3.5719      0.3753      3.0346      3.5719  Siess     
    0.480000      3.5729      0.3848      3.0337      3.5729  Siess     
    0.485000      3.5738      0.3941      3.0327      3.5738  Siess     
    0.490000      3.5748      0.4034      3.0318      3.5748  Siess     
