    # M_init       log T       log L       log g    log T WR  Source    
    # (Msun)    (Kelvin)      (Lsun)          ()    (Kelvin)  ()        
    0.100000      3.4661     -1.0580      3.3796      3.4661  Siess     
    0.105000      3.4684     -1.0439      3.3959      3.4684  Siess     
    0.110000      3.4706     -1.0304      3.4114      3.4706  Siess     
    0.115000      3.4727     -1.0176      3.4262      3.4727  Siess     
    0.120000      3.4747     -1.0052      3.4405      3.4747  Siess     
    0.125000      3.4766     -0.9934      3.4541      3.4766  Siess     
    0.130000      3.4784     -0.9821      3.4672      3.4784  Siess     
    0.135000      3.4797     -0.9574      3.4641      3.4797  Siess     
    0.140000      3.4809     -0.9336      3.4611      3.4809  Siess     
    0.145000      3.4821     -0.9107      3.4582      3.4821  Siess     
    0.150000      3.4833     -0.8885      3.4553      3.4833  Siess     
    0.155000      3.4844     -0.8670      3.4526      3.4844  Siess     
    0.160000      3.4854     -0.8463      3.4500      3.4854  Siess     
    0.165000      3.4857     -0.7997      3.4158      3.4857  Siess     
    0.170000      3.4859     -0.7544      3.3827      3.4859  Siess     
    0.175000      3.4861     -0.7105      3.3505      3.4861  Siess     
    0.180000      3.4864     -0.6678      3.3193      3.4864  Siess     
    0.185000      3.4866     -0.6263      3.2889      3.4866  Siess     
    0.190000      3.4868     -0.5859      3.2593      3.4868  Siess     
    0.195000      3.4870     -0.5465      3.2304      3.4870  Siess     
    0.200000      3.4872     -0.5081      3.2023      3.4872  Siess     
    0.205000      3.4895     -0.4954      3.2087      3.4895  Siess     
    0.210000      3.4917     -0.4830      3.2149      3.4917  Siess     
    0.215000      3.4938     -0.4709      3.2210      3.4938  Siess     
    0.220000      3.4959     -0.4590      3.2270      3.4959  Siess     
    0.225000      3.4980     -0.4474      3.2328      3.4980  Siess     
    0.230000      3.5000     -0.4361      3.2384      3.5000  Siess     
    0.235000      3.5019     -0.4250      3.2440      3.5019  Siess     
    0.240000      3.5039     -0.4141      3.2494      3.5039  Siess     
    0.245000      3.5057     -0.4035      3.2548      3.5057  Siess     
    0.250000      3.5076     -0.3931      3.2600      3.5076  Siess     
    0.255000      3.5096     -0.3637      3.2481      3.5096  Siess     
    0.260000      3.5117     -0.3349      3.2363      3.5117  Siess     
    0.265000      3.5136     -0.3067      3.2248      3.5136  Siess     
    0.270000      3.5156     -0.2789      3.2136      3.5156  Siess     
    0.275000      3.5175     -0.2517      3.2025      3.5175  Siess     
    0.280000      3.5194     -0.2250      3.1916      3.5194  Siess     
    0.285000      3.5212     -0.1988      3.1809      3.5212  Siess     
