    # M_init       log T       log L       log g    log T WR  Source    
    # (Msun)    (Kelvin)      (Lsun)          ()    (Kelvin)  ()        
    0.100000      3.4649     -1.0312      3.3473      3.4649  Siess     
    0.105000      3.4668     -1.0095      3.3537      3.4668  Siess     
    0.110000      3.4686     -0.9887      3.3597      3.4686  Siess     
    0.115000      3.4704     -0.9689      3.3655      3.4704  Siess     
    0.120000      3.4720     -0.9499      3.3710      3.4720  Siess     
    0.125000      3.4736     -0.9317      3.3763      3.4736  Siess     
    0.130000      3.4752     -0.9142      3.3814      3.4752  Siess     
    0.135000      3.4765     -0.8919      3.3817      3.4765  Siess     
    0.140000      3.4778     -0.8704      3.3819      3.4778  Siess     
    0.145000      3.4790     -0.8497      3.3821      3.4790  Siess     
    0.150000      3.4803     -0.8297      3.3823      3.4803  Siess     
    0.155000      3.4814     -0.8103      3.3825      3.4814  Siess     
    0.160000      3.4826     -0.7916      3.3827      3.4826  Siess     
    0.165000      3.4832     -0.7515      3.3572      3.4832  Siess     
    0.170000      3.4838     -0.7127      3.3325      3.4838  Siess     
    0.175000      3.4843     -0.6749      3.3084      3.4843  Siess     
    0.180000      3.4849     -0.6382      3.2851      3.4849  Siess     
    0.185000      3.4854     -0.6026      3.2624      3.4854  Siess     
    0.190000      3.4860     -0.5678      3.2402      3.4860  Siess     
    0.195000      3.4865     -0.5340      3.2187      3.4865  Siess     
    0.200000      3.4870     -0.5011      3.1977      3.4870  Siess     
    0.205000      3.4892     -0.4887      3.2046      3.4892  Siess     
    0.210000      3.4915     -0.4766      3.2113      3.4915  Siess     
    0.215000      3.4936     -0.4648      3.2179      3.4936  Siess     
    0.220000      3.4958     -0.4533      3.2243      3.4958  Siess     
    0.225000      3.4978     -0.4421      3.2306      3.4978  Siess     
    0.230000      3.4999     -0.4311      3.2367      3.4999  Siess     
    0.235000      3.5019     -0.4203      3.2427      3.5019  Siess     
    0.240000      3.5038     -0.4097      3.2486      3.5038  Siess     
    0.245000      3.5057     -0.3994      3.2544      3.5057  Siess     
    0.250000      3.5076     -0.3893      3.2600      3.5076  Siess     
    0.255000      3.5097     -0.3576      3.2448      3.5097  Siess     
    0.260000      3.5117     -0.3266      3.2299      3.5117  Siess     
    0.265000      3.5137     -0.2961      3.2153      3.5137  Siess     
    0.270000      3.5157     -0.2662      3.2009      3.5157  Siess     
    0.275000      3.5176     -0.2369      3.1868      3.5176  Siess     
    0.280000      3.5195     -0.2081      3.1730      3.5195  Siess     
    0.285000      3.5213     -0.1798      3.1594      3.5213  Siess     
    0.290000      3.5232     -0.1520      3.1460      3.5232  Siess     
    0.295000      3.5250     -0.1247      3.1329      3.5250  Siess     
    0.300000      3.5267     -0.0978      3.1200      3.5267  Siess     
    0.305000      3.5284     -0.0828      3.1194      3.5284  Siess     
    0.310000      3.5301     -0.0681      3.1189      3.5301  Siess     
    0.315000      3.5318     -0.0536      3.1183      3.5318  Siess     
    0.320000      3.5334     -0.0393      3.1178      3.5334  Siess     
    0.325000      3.5350     -0.0252      3.1172      3.5350  Siess     
    0.330000      3.5366     -0.0114      3.1167      3.5366  Siess     
    0.335000      3.5381      0.0022      3.1162      3.5381  Siess     
    0.340000      3.5396      0.0157      3.1156      3.5396  Siess     
    0.345000      3.5412      0.0289      3.1151      3.5412  Siess     
    0.350000      3.5426      0.0419      3.1146      3.5426  Siess     
    0.355000      3.5441      0.0548      3.1141      3.5441  Siess     
    0.360000      3.5455      0.0675      3.1137      3.5455  Siess     
    0.365000      3.5470      0.0800      3.1132      3.5470  Siess     
    0.370000      3.5484      0.0923      3.1127      3.5484  Siess     
    0.375000      3.5498      0.1045      3.1122      3.5498  Siess     
    0.380000      3.5511      0.1165      3.1118      3.5511  Siess     
    0.385000      3.5525      0.1283      3.1113      3.5525  Siess     
    0.390000      3.5538      0.1400      3.1109      3.5538  Siess     
    0.395000      3.5551      0.1516      3.1104      3.5551  Siess     
    0.400000      3.5564      0.1630      3.1100      3.5564  Siess     
    0.405000      3.5576      0.1678      3.1150      3.5576  Siess     
    0.410000      3.5587      0.1725      3.1200      3.5587  Siess     
    0.415000      3.5599      0.1772      3.1248      3.5599  Siess     
    0.420000      3.5610      0.1819      3.1297      3.5610  Siess     
    0.425000      3.5621      0.1865      3.1345      3.5621  Siess     
    0.430000      3.5632      0.1910      3.1392      3.5632  Siess     
    0.435000      3.5643      0.1955      3.1438      3.5643  Siess     
    0.440000      3.5653      0.1999      3.1484      3.5653  Siess     
    0.445000      3.5664      0.2043      3.1530      3.5664  Siess     
    0.450000      3.5674      0.2087      3.1575      3.5674  Siess     
    0.455000      3.5685      0.2129      3.1620      3.5685  Siess     
    0.460000      3.5695      0.2172      3.1664      3.5695  Siess     
    0.465000      3.5705      0.2214      3.1707      3.5705  Siess     
    0.470000      3.5715      0.2255      3.1750      3.5715  Siess     
    0.475000      3.5725      0.2296      3.1793      3.5725  Siess     
    0.480000      3.5734      0.2337      3.1835      3.5734  Siess     
    0.485000      3.5744      0.2377      3.1877      3.5744  Siess     
    0.490000      3.5754      0.2417      3.1919      3.5754  Siess     
    0.495000      3.5763      0.2456      3.1959      3.5763  Siess     
    0.500000      3.5773      0.2495      3.2000      3.5773  Siess     
    0.505000      3.5781      0.2518      3.2058      3.5781  Siess     
    0.510000      3.5790      0.2540      3.2115      3.5790  Siess     
    0.515000      3.5798      0.2562      3.2172      3.5798  Siess     
