    # M_init       log T       log L       log g    log T WR  Source    
    # (Msun)    (Kelvin)      (Lsun)          ()    (Kelvin)  ()        
    0.100000      3.4585     -0.9066      3.1897      3.4585  Siess     
    0.105000      3.4601     -0.8803      3.1909      3.4601  Siess     
    0.110000      3.4617     -0.8552      3.1920      3.4617  Siess     
    0.115000      3.4632     -0.8312      3.1931      3.4632  Siess     
    0.120000      3.4646     -0.8083      3.1941      3.4646  Siess     
    0.125000      3.4659     -0.7862      3.1951      3.4659  Siess     
    0.130000      3.4673     -0.7651      3.1960      3.4673  Siess     
    0.135000      3.4687     -0.7428      3.1960      3.4687  Siess     
    0.140000      3.4701     -0.7214      3.1960      3.4701  Siess     
    0.145000      3.4714     -0.7007      3.1960      3.4714  Siess     
    0.150000      3.4727     -0.6807      3.1960      3.4727  Siess     
    0.155000      3.4739     -0.6613      3.1960      3.4739  Siess     
    0.160000      3.4751     -0.6426      3.1960      3.4751  Siess     
    0.165000      3.4766     -0.6182      3.1903      3.4766  Siess     
    0.170000      3.4780     -0.5945      3.1848      3.4780  Siess     
    0.175000      3.4794     -0.5715      3.1794      3.4794  Siess     
    0.180000      3.4808     -0.5492      3.1742      3.4808  Siess     
    0.185000      3.4821     -0.5275      3.1692      3.4821  Siess     
    0.190000      3.4834     -0.5063      3.1642      3.4834  Siess     
    0.195000      3.4846     -0.4857      3.1594      3.4846  Siess     
    0.200000      3.4859     -0.4656      3.1548      3.4859  Siess     
    0.205000      3.4882     -0.4546      3.1642      3.4882  Siess     
    0.210000      3.4905     -0.4438      3.1735      3.4905  Siess     
    0.215000      3.4927     -0.4333      3.1825      3.4927  Siess     
    0.220000      3.4949     -0.4230      3.1914      3.4949  Siess     
    0.225000      3.4970     -0.4129      3.2000      3.4970  Siess     
    0.230000      3.4991     -0.4031      3.2084      3.4991  Siess     
    0.235000      3.5012     -0.3935      3.2167      3.5012  Siess     
    0.240000      3.5032     -0.3840      3.2248      3.5032  Siess     
    0.245000      3.5051     -0.3748      3.2327      3.5051  Siess     
    0.250000      3.5070     -0.3658      3.2405      3.5070  Siess     
    0.255000      3.5092     -0.3338      3.2252      3.5092  Siess     
    0.260000      3.5113     -0.3024      3.2102      3.5113  Siess     
    0.265000      3.5134     -0.2716      3.1956      3.5134  Siess     
    0.270000      3.5154     -0.2414      3.1812      3.5154  Siess     
    0.275000      3.5174     -0.2117      3.1670      3.5174  Siess     
    0.280000      3.5194     -0.1826      3.1532      3.5194  Siess     
    0.285000      3.5213     -0.1540      3.1395      3.5213  Siess     
    0.290000      3.5232     -0.1259      3.1261      3.5232  Siess     
    0.295000      3.5250     -0.0983      3.1129      3.5250  Siess     
    0.300000      3.5269     -0.0711      3.1000      3.5269  Siess     
    0.305000      3.5285     -0.0540      3.0968      3.5285  Siess     
    0.310000      3.5302     -0.0372      3.0936      3.5302  Siess     
    0.315000      3.5318     -0.0207      3.0905      3.5318  Siess     
    0.320000      3.5334     -0.0044      3.0875      3.5334  Siess     
    0.325000      3.5350      0.0116      3.0845      3.5350  Siess     
    0.330000      3.5366      0.0274      3.0815      3.5366  Siess     
    0.335000      3.5381      0.0430      3.0786      3.5381  Siess     
    0.340000      3.5396      0.0583      3.0757      3.5396  Siess     
    0.345000      3.5411      0.0734      3.0729      3.5411  Siess     
    0.350000      3.5426      0.0883      3.0701      3.5426  Siess     
    0.355000      3.5440      0.1030      3.0674      3.5440  Siess     
    0.360000      3.5454      0.1174      3.0647      3.5454  Siess     
    0.365000      3.5468      0.1317      3.0620      3.5468  Siess     
    0.370000      3.5482      0.1458      3.0593      3.5482  Siess     
    0.375000      3.5496      0.1597      3.0567      3.5496  Siess     
    0.380000      3.5510      0.1734      3.0542      3.5510  Siess     
