    # M_init       log T       log L       log g    log T WR  Source    
    # (Msun)    (Kelvin)      (Lsun)          ()    (Kelvin)  ()        
    0.100000      3.4615     -0.9611      3.2587      3.4615  Siess     
    0.105000      3.4632     -0.9353      3.2608      3.4632  Siess     
    0.110000      3.4647     -0.9106      3.2627      3.4647  Siess     
    0.115000      3.4662     -0.8870      3.2646      3.4662  Siess     
    0.120000      3.4677     -0.8645      3.2664      3.4677  Siess     
    0.125000      3.4691     -0.8429      3.2681      3.4691  Siess     
    0.130000      3.4704     -0.8221      3.2697      3.4704  Siess     
    0.135000      3.4718     -0.7995      3.2688      3.4718  Siess     
    0.140000      3.4731     -0.7777      3.2679      3.4731  Siess     
    0.145000      3.4744     -0.7567      3.2671      3.4744  Siess     
    0.150000      3.4757     -0.7364      3.2663      3.4757  Siess     
    0.155000      3.4769     -0.7168      3.2655      3.4769  Siess     
    0.160000      3.4781     -0.6978      3.2647      3.4781  Siess     
    0.165000      3.4792     -0.6686      3.2527      3.4792  Siess     
    0.170000      3.4804     -0.6403      3.2410      3.4804  Siess     
    0.175000      3.4815     -0.6128      3.2297      3.4815  Siess     
    0.180000      3.4825     -0.5861      3.2187      3.4825  Siess     
    0.185000      3.4835     -0.5601      3.2080      3.4835  Siess     
    0.190000      3.4845     -0.5348      3.1976      3.4845  Siess     
    0.195000      3.4855     -0.5102      3.1875      3.4855  Siess     
    0.200000      3.4865     -0.4862      3.1776      3.4865  Siess     
    0.205000      3.4888     -0.4751      3.1867      3.4888  Siess     
    0.210000      3.4911     -0.4644      3.1956      3.4911  Siess     
    0.215000      3.4933     -0.4539      3.2043      3.4933  Siess     
    0.220000      3.4955     -0.4436      3.2128      3.4955  Siess     
    0.225000      3.4976     -0.4336      3.2211      3.4976  Siess     
    0.230000      3.4997     -0.4237      3.2292      3.4997  Siess     
    0.235000      3.5017     -0.4141      3.2371      3.5017  Siess     
    0.240000      3.5037     -0.4047      3.2449      3.5037  Siess     
    0.245000      3.5057     -0.3955      3.2525      3.5057  Siess     
    0.250000      3.5076     -0.3865      3.2600      3.5076  Siess     
    0.255000      3.5097     -0.3531      3.2431      3.5097  Siess     
    0.260000      3.5117     -0.3203      3.2266      3.5117  Siess     
    0.265000      3.5137     -0.2881      3.2104      3.5137  Siess     
    0.270000      3.5157     -0.2565      3.1944      3.5157  Siess     
    0.275000      3.5176     -0.2255      3.1788      3.5176  Siess     
    0.280000      3.5195     -0.1951      3.1634      3.5195  Siess     
    0.285000      3.5214     -0.1652      3.1484      3.5214  Siess     
    0.290000      3.5232     -0.1358      3.1335      3.5232  Siess     
    0.295000      3.5250     -0.1070      3.1190      3.5250  Siess     
    0.300000      3.5268     -0.0786      3.1046      3.5268  Siess     
    0.305000      3.5285     -0.0619      3.1021      3.5285  Siess     
    0.310000      3.5301     -0.0455      3.0995      3.5301  Siess     
    0.315000      3.5318     -0.0293      3.0970      3.5318  Siess     
    0.320000      3.5334     -0.0134      3.0945      3.5334  Siess     
    0.325000      3.5350      0.0022      3.0921      3.5350  Siess     
    0.330000      3.5365      0.0177      3.0897      3.5365  Siess     
    0.335000      3.5381      0.0328      3.0874      3.5381  Siess     
    0.340000      3.5396      0.0478      3.0850      3.5396  Siess     
    0.345000      3.5411      0.0626      3.0828      3.5411  Siess     
    0.350000      3.5425      0.0771      3.0805      3.5425  Siess     
    0.355000      3.5440      0.0914      3.0783      3.5440  Siess     
    0.360000      3.5454      0.1055      3.0761      3.5454  Siess     
    0.365000      3.5468      0.1195      3.0739      3.5468  Siess     
    0.370000      3.5482      0.1332      3.0718      3.5482  Siess     
    0.375000      3.5496      0.1468      3.0697      3.5496  Siess     
    0.380000      3.5509      0.1601      3.0676      3.5509  Siess     
    0.385000      3.5523      0.1733      3.0656      3.5523  Siess     
    0.390000      3.5536      0.1864      3.0636      3.5536  Siess     
    0.395000      3.5549      0.1992      3.0616      3.5549  Siess     
    0.400000      3.5562      0.2119      3.0596      3.5562  Siess     
    0.405000      3.5573      0.2227      3.0588      3.5573  Siess     
    0.410000      3.5585      0.2333      3.0580      3.5585  Siess     
    0.415000      3.5596      0.2438      3.0572      3.5596  Siess     
    0.420000      3.5607      0.2542      3.0565      3.5607  Siess     
    0.425000      3.5618      0.2644      3.0557      3.5618  Siess     
    0.430000      3.5628      0.2745      3.0550      3.5628  Siess     
    0.435000      3.5639      0.2845      3.0543      3.5639  Siess     
    0.440000      3.5649      0.2944      3.0535      3.5649  Siess     
    0.445000      3.5660      0.3042      3.0528      3.5660  Siess     
    0.450000      3.5670      0.3139      3.0521      3.5670  Siess     
    0.455000      3.5680      0.3234      3.0514      3.5680  Siess     
    0.460000      3.5690      0.3329      3.0507      3.5690  Siess     
    0.465000      3.5700      0.3423      3.0500      3.5700  Siess     
    0.470000      3.5710      0.3515      3.0493      3.5710  Siess     
    0.475000      3.5720      0.3607      3.0487      3.5720  Siess     
    0.480000      3.5729      0.3697      3.0480      3.5729  Siess     
    0.485000      3.5739      0.3787      3.0473      3.5739  Siess     
    0.490000      3.5748      0.3876      3.0467      3.5748  Siess     
    0.495000      3.5758      0.3964      3.0460      3.5758  Siess     
    0.500000      3.5767      0.4051      3.0454      3.5767  Siess     
    0.505000      3.5775      0.4119      3.0462      3.5775  Siess     
    0.510000      3.5783      0.4187      3.0470      3.5783  Siess     
    0.515000      3.5790      0.4254      3.0478      3.5790  Siess     
    0.520000      3.5798      0.4320      3.0485      3.5798  Siess     
    0.525000      3.5806      0.4385      3.0493      3.5806  Siess     
    0.530000      3.5813      0.4450      3.0501      3.5813  Siess     
    0.535000      3.5821      0.4515      3.0508      3.5821  Siess     
    0.540000      3.5828      0.4579      3.0516      3.5828  Siess     
    0.545000      3.5835      0.4642      3.0523      3.5835  Siess     
    0.550000      3.5843      0.4704      3.0530      3.5843  Siess     
    0.555000      3.5850      0.4766      3.0538      3.5850  Siess     
    0.560000      3.5857      0.4828      3.0545      3.5857  Siess     
    0.565000      3.5864      0.4889      3.0552      3.5864  Siess     
    0.570000      3.5871      0.4949      3.0559      3.5871  Siess     
    0.575000      3.5878      0.5009      3.0566      3.5878  Siess     
    0.580000      3.5885      0.5068      3.0573      3.5885  Siess     
    0.585000      3.5892      0.5127      3.0580      3.5892  Siess     
    0.590000      3.5898      0.5186      3.0587      3.5898  Siess     
    0.595000      3.5905      0.5244      3.0593      3.5905  Siess     
    0.600000      3.5912      0.5301      3.0600      3.5912  Siess     
    0.605000      3.5917      0.5388      3.0569      3.5917  Siess     
    0.610000      3.5922      0.5474      3.0537      3.5922  Siess     
    0.615000      3.5927      0.5560      3.0506      3.5927  Siess     
    0.620000      3.5933      0.5644      3.0476      3.5933  Siess     
    0.625000      3.5938      0.5728      3.0445      3.5938  Siess     
    0.630000      3.5943      0.5812      3.0415      3.5943  Siess     
    0.635000      3.5948      0.5895      3.0385      3.5948  Siess     
    0.640000      3.5953      0.5977      3.0355      3.5953  Siess     
    0.645000      3.5958      0.6058      3.0326      3.5958  Siess     
    0.650000      3.5963      0.6139      3.0296      3.5963  Siess     
    0.655000      3.5968      0.6220      3.0267      3.5968  Siess     
    0.660000      3.5972      0.6299      3.0238      3.5972  Siess     
    0.665000      3.5977      0.6378      3.0210      3.5977  Siess     
    0.670000      3.5982      0.6457      3.0181      3.5982  Siess     
    0.675000      3.5987      0.6535      3.0153      3.5987  Siess     
    0.680000      3.5992      0.6612      3.0125      3.5992  Siess     
    0.685000      3.5996      0.6689      3.0097      3.5996  Siess     
    0.690000      3.6001      0.6765      3.0070      3.6001  Siess     
    0.695000      3.6005      0.6841      3.0042      3.6005  Siess     
    0.700000      3.6010      0.6916      3.0015      3.6010  Siess     
    0.705000      3.6016      0.6870      3.0118      3.6016  Siess     
    0.710000      3.6023      0.6825      3.0221      3.6023  Siess     
    0.715000      3.6029      0.6780      3.0323      3.6029  Siess     
    0.720000      3.6035      0.6735      3.0424      3.6035  Siess     
    0.725000      3.6042      0.6691      3.0524      3.6042  Siess     
    0.730000      3.6048      0.6647      3.0624      3.6048  Siess     
    0.735000      3.6054      0.6603      3.0723      3.6054  Siess     
    0.740000      3.6060      0.6560      3.0821      3.6060  Siess     
    0.745000      3.6066      0.6517      3.0919      3.6066  Siess     
    0.750000      3.6072      0.6474      3.1016      3.6072  Siess     
    0.755000      3.6078      0.6431      3.1113      3.6078  Siess     
    0.760000      3.6084      0.6389      3.1208      3.6084  Siess     
    0.765000      3.6090      0.6347      3.1304      3.6090  Siess     
    0.770000      3.6096      0.6305      3.1398      3.6096  Siess     
    0.775000      3.6102      0.6264      3.1492      3.6102  Siess     
    0.780000      3.6108      0.6223      3.1585      3.6108  Siess     
    0.785000      3.6113      0.6182      3.1678      3.6113  Siess     
    0.790000      3.6119      0.6141      3.1770      3.6119  Siess     
    0.795000      3.6125      0.6101      3.1862      3.6125  Siess     
    0.800000      3.6130      0.6061      3.1953      3.6130  Siess     
    0.805000      3.6135      0.6086      3.1971      3.6135  Siess     
    0.810000      3.6139      0.6111      3.1989      3.6139  Siess     
    0.815000      3.6143      0.6136      3.2008      3.6143  Siess     
    0.820000      3.6147      0.6161      3.2026      3.6147  Siess     
    0.825000      3.6151      0.6185      3.2044      3.6151  Siess     
    0.830000      3.6156      0.6209      3.2061      3.6156  Siess     
    0.835000      3.6160      0.6234      3.2079      3.6160  Siess     
    0.840000      3.6164      0.6258      3.2097      3.6164  Siess     
    0.845000      3.6168      0.6282      3.2114      3.6168  Siess     
    0.850000      3.6172      0.6306      3.2132      3.6172  Siess     
    0.855000      3.6176      0.6329      3.2149      3.6176  Siess     
    0.860000      3.6180      0.6353      3.2166      3.6180  Siess     
    0.865000      3.6184      0.6376      3.2183      3.6184  Siess     
    0.870000      3.6188      0.6400      3.2200      3.6188  Siess     
    0.875000      3.6192      0.6423      3.2217      3.6192  Siess     
    0.880000      3.6195      0.6446      3.2234      3.6195  Siess     
    0.885000      3.6199      0.6469      3.2251      3.6199  Siess     
