    # M_init       log T       log L       log g    log T WR  Source    
    # (Msun)    (Kelvin)      (Lsun)          ()    (Kelvin)  ()        
    0.100000      3.4888     -1.9780      4.4298      3.4888  Siess     
    0.105000      3.4910     -1.9458      4.4281      3.4910  Siess     
    0.110000      3.4932     -1.9152      4.4266      3.4932  Siess     
    0.115000      3.4952     -1.8858      4.4251      3.4952  Siess     
    0.120000      3.4972     -1.8578      4.4236      3.4972  Siess     
    0.125000      3.4991     -1.8308      4.4223      3.4991  Siess     
    0.130000      3.5009     -1.8050      4.4209      3.5009  Siess     
    0.135000      3.5026     -1.7829      4.4214      3.5026  Siess     
    0.140000      3.5042     -1.7616      4.4217      3.5042  Siess     
    0.145000      3.5057     -1.7410      4.4221      3.5057  Siess     
    0.150000      3.5072     -1.7212      4.4225      3.5072  Siess     
    0.155000      3.5087     -1.7020      4.4228      3.5087  Siess     
    0.160000      3.5101     -1.6834      4.4232      3.5101  Siess     
    0.165000      3.5116     -1.6660      4.4237      3.5116  Siess     
    0.170000      3.5130     -1.6491      4.4243      3.5130  Siess     
    0.175000      3.5144     -1.6328      4.4249      3.5144  Siess     
    0.180000      3.5158     -1.6169      4.4254      3.5158  Siess     
    0.185000      3.5171     -1.6014      4.4259      3.5171  Siess     
    0.190000      3.5184     -1.5863      4.4264      3.5184  Siess     
    0.195000      3.5197     -1.5717      4.4269      3.5197  Siess     
    0.200000      3.5209     -1.5574      4.4274      3.5209  Siess     
    0.205000      3.5224     -1.5424      4.4276      3.5224  Siess     
    0.210000      3.5237     -1.5278      4.4279      3.5237  Siess     
    0.215000      3.5251     -1.5135      4.4282      3.5251  Siess     
    0.220000      3.5264     -1.4996      4.4284      3.5264  Siess     
    0.225000      3.5277     -1.4860      4.4287      3.5277  Siess     
    0.230000      3.5289     -1.4726      4.4289      3.5289  Siess     
    0.235000      3.5302     -1.4596      4.4291      3.5302  Siess     
    0.240000      3.5314     -1.4468      4.4294      3.5314  Siess     
    0.245000      3.5325     -1.4343      4.4296      3.5325  Siess     
    0.250000      3.5337     -1.4221      4.4298      3.5337  Siess     
    0.255000      3.5349     -1.4104      4.4308      3.5349  Siess     
    0.260000      3.5360     -1.3989      4.4317      3.5360  Siess     
    0.265000      3.5371     -1.3876      4.4326      3.5371  Siess     
    0.270000      3.5383     -1.3765      4.4335      3.5383  Siess     
    0.275000      3.5393     -1.3657      4.4344      3.5393  Siess     
    0.280000      3.5404     -1.3550      4.4352      3.5404  Siess     
    0.285000      3.5415     -1.3445      4.4361      3.5415  Siess     
    0.290000      3.5425     -1.3342      4.4369      3.5425  Siess     
    0.295000      3.5435     -1.3241      4.4377      3.5435  Siess     
    0.300000      3.5445     -1.3141      4.4385      3.5445  Siess     
    0.305000      3.5456     -1.3039      4.4395      3.5456  Siess     
    0.310000      3.5466     -1.2939      4.4405      3.5466  Siess     
    0.315000      3.5477     -1.2840      4.4415      3.5477  Siess     
    0.320000      3.5487     -1.2743      4.4425      3.5487  Siess     
    0.325000      3.5497     -1.2647      4.4434      3.5497  Siess     
    0.330000      3.5506     -1.2552      4.4444      3.5506  Siess     
    0.335000      3.5516     -1.2459      4.4453      3.5516  Siess     
    0.340000      3.5526     -1.2368      4.4462      3.5526  Siess     
    0.345000      3.5535     -1.2278      4.4471      3.5535  Siess     
    0.350000      3.5544     -1.2189      4.4480      3.5544  Siess     
    0.355000      3.5553     -1.2101      4.4489      3.5553  Siess     
    0.360000      3.5562     -1.2015      4.4497      3.5562  Siess     
    0.365000      3.5571     -1.1929      4.4506      3.5571  Siess     
    0.370000      3.5580     -1.1845      4.4514      3.5580  Siess     
    0.375000      3.5588     -1.1762      4.4522      3.5588  Siess     
    0.380000      3.5597     -1.1680      4.4530      3.5597  Siess     
    0.385000      3.5605     -1.1600      4.4538      3.5605  Siess     
    0.390000      3.5614     -1.1520      4.4546      3.5614  Siess     
    0.395000      3.5622     -1.1441      4.4554      3.5622  Siess     
    0.400000      3.5630     -1.1363      4.4562      3.5630  Siess     
    0.405000      3.5637     -1.1282      4.4569      3.5637  Siess     
    0.410000      3.5644     -1.1201      4.4577      3.5644  Siess     
    0.415000      3.5651     -1.1121      4.4584      3.5651  Siess     
    0.420000      3.5658     -1.1042      4.4592      3.5658  Siess     
    0.425000      3.5665     -1.0964      4.4599      3.5665  Siess     
    0.430000      3.5672     -1.0887      4.4606      3.5672  Siess     
    0.435000      3.5679     -1.0811      4.4614      3.5679  Siess     
    0.440000      3.5686     -1.0736      4.4621      3.5686  Siess     
    0.445000      3.5692     -1.0661      4.4628      3.5692  Siess     
    0.450000      3.5699     -1.0588      4.4635      3.5699  Siess     
    0.455000      3.5705     -1.0515      4.4641      3.5705  Siess     
    0.460000      3.5712     -1.0443      4.4648      3.5712  Siess     
    0.465000      3.5718     -1.0372      4.4655      3.5718  Siess     
    0.470000      3.5724     -1.0302      4.4661      3.5724  Siess     
    0.475000      3.5730     -1.0232      4.4668      3.5730  Siess     
    0.480000      3.5737     -1.0163      4.4674      3.5737  Siess     
    0.485000      3.5743     -1.0095      4.4681      3.5743  Siess     
    0.490000      3.5749     -1.0027      4.4687      3.5749  Siess     
    0.495000      3.5755     -0.9960      4.4693      3.5755  Siess     
    0.500000      3.5761     -0.9894      4.4700      3.5761  Siess     
    0.505000      3.5767     -0.9825      4.4707      3.5767  Siess     
    0.510000      3.5772     -0.9756      4.4713      3.5772  Siess     
    0.515000      3.5778     -0.9689      4.4720      3.5778  Siess     
    0.520000      3.5784     -0.9621      4.4726      3.5784  Siess     
    0.525000      3.5790     -0.9555      4.4733      3.5790  Siess     
    0.530000      3.5796     -0.9489      4.4739      3.5796  Siess     
    0.535000      3.5801     -0.9423      4.4746      3.5801  Siess     
    0.540000      3.5807     -0.9359      4.4752      3.5807  Siess     
    0.545000      3.5813     -0.9295      4.4759      3.5813  Siess     
    0.550000      3.5818     -0.9231      4.4765      3.5818  Siess     
    0.555000      3.5824     -0.9168      4.4771      3.5824  Siess     
    0.560000      3.5829     -0.9106      4.4777      3.5829  Siess     
    0.565000      3.5834     -0.9044      4.4783      3.5834  Siess     
    0.570000      3.5840     -0.8982      4.4789      3.5840  Siess     
    0.575000      3.5845     -0.8922      4.4795      3.5845  Siess     
    0.580000      3.5850     -0.8861      4.4801      3.5850  Siess     
    0.585000      3.5855     -0.8802      4.4807      3.5855  Siess     
