    # M_init       log T       log L       log g    log T WR  Source    
    # (Msun)    (Kelvin)      (Lsun)          ()    (Kelvin)  ()        
    0.100000      3.4679     -1.0889      3.4163      3.4679  Siess     
    0.105000      3.4704     -1.0805      3.4393      3.4704  Siess     
    0.110000      3.4727     -1.0725      3.4612      3.4727  Siess     
    0.115000      3.4749     -1.0648      3.4822      3.4749  Siess     
    0.120000      3.4770     -1.0575      3.5023      3.4770  Siess     
    0.125000      3.4791     -1.0505      3.5215      3.4791  Siess     
    0.130000      3.4810     -1.0437      3.5400      3.4810  Siess     
    0.135000      3.4819     -1.0098      3.5255      3.4819  Siess     
    0.140000      3.4828     -0.9771      3.5114      3.4828  Siess     
    0.145000      3.4836     -0.9456      3.4979      3.4836  Siess     
    0.150000      3.4845     -0.9152      3.4849      3.4845  Siess     
    0.155000      3.4852     -0.8857      3.4722      3.4852  Siess     
    0.160000      3.4860     -0.8572      3.4600      3.4860  Siess     
    0.165000      3.4867     -0.8232      3.4420      3.4867  Siess     
    0.170000      3.4875     -0.7902      3.4246      3.4875  Siess     
    0.175000      3.4882     -0.7582      3.4076      3.4882  Siess     
    0.180000      3.4888     -0.7270      3.3912      3.4888  Siess     
    0.185000      3.4895     -0.6967      3.3752      3.4895  Siess     
    0.190000      3.4901     -0.6673      3.3596      3.4901  Siess     
    0.195000      3.4907     -0.6386      3.3444      3.4907  Siess     
    0.200000      3.4914     -0.6106      3.3296      3.4914  Siess     
    0.205000      3.4934     -0.6029      3.3399      3.4934  Siess     
    0.210000      3.4953     -0.5954      3.3499      3.4953  Siess     
    0.215000      3.4972     -0.5881      3.3597      3.4972  Siess     
    0.220000      3.4991     -0.5810      3.3692      3.4991  Siess     
    0.225000      3.5009     -0.5740      3.3786      3.5009  Siess     
    0.230000      3.5027     -0.5672      3.3877      3.5027  Siess     
    0.235000      3.5044     -0.5605      3.3967      3.5044  Siess     
    0.240000      3.5062     -0.5540      3.4054      3.5062  Siess     
    0.245000      3.5078     -0.5476      3.4140      3.5078  Siess     
    0.250000      3.5095     -0.5413      3.4224      3.5095  Siess     
    0.255000      3.5115     -0.5445      3.4424      3.5115  Siess     
    0.260000      3.5134     -0.5476      3.4619      3.5134  Siess     
    0.265000      3.5154     -0.5507      3.4811      3.5154  Siess     
    0.270000      3.5173     -0.5537      3.5000      3.5173  Siess     
    0.275000      3.5191     -0.5567      3.5185      3.5191  Siess     
    0.280000      3.5210     -0.5596      3.5366      3.5210  Siess     
    0.285000      3.5227     -0.5624      3.5545      3.5227  Siess     
    0.290000      3.5245     -0.5652      3.5720      3.5245  Siess     
    0.295000      3.5262     -0.5680      3.5893      3.5262  Siess     
    0.300000      3.5279     -0.5707      3.6062      3.5279  Siess     
    0.305000      3.5295     -0.5630      3.6118      3.5295  Siess     
    0.310000      3.5311     -0.5555      3.6174      3.5311  Siess     
    0.315000      3.5327     -0.5481      3.6228      3.5327  Siess     
    0.320000      3.5342     -0.5408      3.6282      3.5342  Siess     
    0.325000      3.5357     -0.5337      3.6334      3.5357  Siess     
    0.330000      3.5372     -0.5266      3.6386      3.5372  Siess     
    0.335000      3.5387     -0.5196      3.6438      3.5387  Siess     
    0.340000      3.5401     -0.5128      3.6488      3.5401  Siess     
    0.345000      3.5415     -0.5060      3.6538      3.5415  Siess     
    0.350000      3.5429     -0.4993      3.6587      3.5429  Siess     
    0.355000      3.5443     -0.4928      3.6635      3.5443  Siess     
    0.360000      3.5457     -0.4863      3.6682      3.5457  Siess     
    0.365000      3.5470     -0.4799      3.6729      3.5470  Siess     
    0.370000      3.5483     -0.4736      3.6776      3.5483  Siess     
    0.375000      3.5496     -0.4674      3.6821      3.5496  Siess     
    0.380000      3.5509     -0.4613      3.6866      3.5509  Siess     
    0.385000      3.5522     -0.4552      3.6911      3.5522  Siess     
    0.390000      3.5535     -0.4493      3.6955      3.5535  Siess     
    0.395000      3.5547     -0.4434      3.6998      3.5547  Siess     
    0.400000      3.5559     -0.4375      3.7041      3.5559  Siess     
    0.405000      3.5570     -0.4304      3.7074      3.5570  Siess     
    0.410000      3.5581     -0.4234      3.7107      3.5581  Siess     
    0.415000      3.5592     -0.4165      3.7139      3.5592  Siess     
    0.420000      3.5602     -0.4097      3.7171      3.5602  Siess     
    0.425000      3.5612     -0.4029      3.7202      3.5612  Siess     
    0.430000      3.5623     -0.3962      3.7234      3.5623  Siess     
    0.435000      3.5633     -0.3896      3.7264      3.5633  Siess     
    0.440000      3.5643     -0.3831      3.7295      3.5643  Siess     
    0.445000      3.5653     -0.3766      3.7325      3.5653  Siess     
    0.450000      3.5663     -0.3703      3.7355      3.5663  Siess     
    0.455000      3.5672     -0.3639      3.7384      3.5672  Siess     
    0.460000      3.5682     -0.3577      3.7413      3.5682  Siess     
    0.465000      3.5691     -0.3515      3.7442      3.5691  Siess     
    0.470000      3.5701     -0.3454      3.7470      3.5701  Siess     
    0.475000      3.5710     -0.3394      3.7498      3.5710  Siess     
    0.480000      3.5719     -0.3334      3.7526      3.5719  Siess     
    0.485000      3.5728     -0.3275      3.7554      3.5728  Siess     
    0.490000      3.5737     -0.3216      3.7581      3.5737  Siess     
    0.495000      3.5746     -0.3158      3.7608      3.5746  Siess     
    0.500000      3.5755     -0.3101      3.7635      3.5755  Siess     
    0.505000      3.5763     -0.3039      3.7648      3.5763  Siess     
    0.510000      3.5771     -0.2979      3.7660      3.5771  Siess     
    0.515000      3.5779     -0.2919      3.7673      3.5779  Siess     
    0.520000      3.5787     -0.2860      3.7685      3.5787  Siess     
    0.525000      3.5795     -0.2801      3.7697      3.5795  Siess     
    0.530000      3.5803     -0.2743      3.7709      3.5803  Siess     
    0.535000      3.5810     -0.2685      3.7721      3.5810  Siess     
    0.540000      3.5818     -0.2628      3.7733      3.5818  Siess     
    0.545000      3.5825     -0.2571      3.7745      3.5825  Siess     
    0.550000      3.5833     -0.2515      3.7756      3.5833  Siess     
    0.555000      3.5840     -0.2459      3.7768      3.5840  Siess     
    0.560000      3.5848     -0.2404      3.7779      3.5848  Siess     
    0.565000      3.5855     -0.2350      3.7791      3.5855  Siess     
    0.570000      3.5862     -0.2295      3.7802      3.5862  Siess     
    0.575000      3.5869     -0.2242      3.7813      3.5869  Siess     
    0.580000      3.5876     -0.2189      3.7824      3.5876  Siess     
    0.585000      3.5883     -0.2136      3.7835      3.5883  Siess     
    0.590000      3.5890     -0.2084      3.7846      3.5890  Siess     
    0.595000      3.5897     -0.2032      3.7857      3.5897  Siess     
    0.600000      3.5904     -0.1980      3.7867      3.5904  Siess     
    0.605000      3.5911     -0.1907      3.7857      3.5911  Siess     
    0.610000      3.5917     -0.1833      3.7847      3.5917  Siess     
    0.615000      3.5924     -0.1761      3.7837      3.5924  Siess     
    0.620000      3.5930     -0.1689      3.7828      3.5930  Siess     
    0.625000      3.5937     -0.1618      3.7818      3.5937  Siess     
    0.630000      3.5943     -0.1547      3.7808      3.5943  Siess     
    0.635000      3.5950     -0.1477      3.7798      3.5950  Siess     
    0.640000      3.5956     -0.1407      3.7789      3.5956  Siess     
    0.645000      3.5962     -0.1338      3.7779      3.5962  Siess     
    0.650000      3.5968     -0.1269      3.7770      3.5968  Siess     
    0.655000      3.5975     -0.1201      3.7761      3.5975  Siess     
    0.660000      3.5981     -0.1134      3.7752      3.5981  Siess     
    0.665000      3.5987     -0.1066      3.7742      3.5987  Siess     
    0.670000      3.5993     -0.1000      3.7733      3.5993  Siess     
    0.675000      3.5999     -0.0934      3.7724      3.5999  Siess     
    0.680000      3.6005     -0.0868      3.7715      3.6005  Siess     
    0.685000      3.6011     -0.0803      3.7706      3.6011  Siess     
    0.690000      3.6017     -0.0739      3.7698      3.6017  Siess     
    0.695000      3.6022     -0.0675      3.7689      3.6022  Siess     
    0.700000      3.6028     -0.0611      3.7680      3.6028  Siess     
    0.705000      3.6034     -0.0587      3.7710      3.6034  Siess     
    0.710000      3.6039     -0.0563      3.7739      3.6039  Siess     
    0.715000      3.6045     -0.0539      3.7768      3.6045  Siess     
    0.720000      3.6050     -0.0516      3.7797      3.6050  Siess     
    0.725000      3.6056     -0.0493      3.7826      3.6056  Siess     
    0.730000      3.6061     -0.0469      3.7855      3.6061  Siess     
    0.735000      3.6067     -0.0447      3.7883      3.6067  Siess     
    0.740000      3.6072     -0.0424      3.7911      3.6072  Siess     
    0.745000      3.6077     -0.0401      3.7939      3.6077  Siess     
    0.750000      3.6083     -0.0378      3.7967      3.6083  Siess     
    0.755000      3.6088     -0.0356      3.7995      3.6088  Siess     
    0.760000      3.6093     -0.0334      3.8022      3.6093  Siess     
    0.765000      3.6098     -0.0312      3.8050      3.6098  Siess     
    0.770000      3.6103     -0.0290      3.8077      3.6103  Siess     
    0.775000      3.6109     -0.0268      3.8104      3.6109  Siess     
    0.780000      3.6114     -0.0246      3.8131      3.6114  Siess     
    0.785000      3.6119     -0.0225      3.8157      3.6119  Siess     
    0.790000      3.6124     -0.0203      3.8184      3.6124  Siess     
    0.795000      3.6129     -0.0182      3.8210      3.6129  Siess     
    0.800000      3.6134     -0.0161      3.8236      3.6134  Siess     
    0.805000      3.6138     -0.0120      3.8241      3.6138  Siess     
    0.810000      3.6143     -0.0080      3.8246      3.6143  Siess     
    0.815000      3.6148     -0.0040      3.8251      3.6148  Siess     
    0.820000      3.6153      0.0000      3.8256      3.6153  Siess     
    0.825000      3.6157      0.0040      3.8261      3.6157  Siess     
    0.830000      3.6162      0.0079      3.8266      3.6162  Siess     
    0.835000      3.6167      0.0119      3.8271      3.6167  Siess     
    0.840000      3.6171      0.0158      3.8275      3.6171  Siess     
    0.845000      3.6176      0.0196      3.8280      3.6176  Siess     
    0.850000      3.6181      0.0235      3.8285      3.6181  Siess     
    0.855000      3.6185      0.0273      3.8290      3.6185  Siess     
    0.860000      3.6190      0.0311      3.8294      3.6190  Siess     
