    # M_init       log T       log L       log g    log T WR  Source    
    # (Msun)    (Kelvin)      (Lsun)          ()    (Kelvin)  ()        
    0.100000      3.4885     -2.0811      4.5317      3.4885  Siess     
    0.105000      3.4909     -2.0487      4.5319      3.4909  Siess     
    0.110000      3.4932     -2.0177      4.5320      3.4932  Siess     
    0.115000      3.4954     -1.9882      4.5321      3.4954  Siess     
    0.120000      3.4975     -1.9599      4.5322      3.4975  Siess     
    0.125000      3.4995     -1.9327      4.5323      3.4995  Siess     
    0.130000      3.5015     -1.9067      4.5324      3.5015  Siess     
    0.135000      3.5032     -1.8834      4.5316      3.5032  Siess     
    0.140000      3.5049     -1.8610      4.5308      3.5049  Siess     
    0.145000      3.5065     -1.8394      4.5301      3.5065  Siess     
    0.150000      3.5081     -1.8185      4.5293      3.5081  Siess     
    0.155000      3.5096     -1.7983      4.5286      3.5096  Siess     
    0.160000      3.5111     -1.7788      4.5279      3.5111  Siess     
    0.165000      3.5126     -1.7609      4.5280      3.5126  Siess     
    0.170000      3.5140     -1.7434      4.5281      3.5140  Siess     
    0.175000      3.5154     -1.7265      4.5282      3.5154  Siess     
    0.180000      3.5168     -1.7101      4.5283      3.5168  Siess     
    0.185000      3.5181     -1.6941      4.5284      3.5181  Siess     
    0.190000      3.5194     -1.6786      4.5285      3.5194  Siess     
    0.195000      3.5206     -1.6635      4.5286      3.5206  Siess     
    0.200000      3.5218     -1.6487      4.5287      3.5218  Siess     
    0.205000      3.5233     -1.6337      4.5287      3.5233  Siess     
    0.210000      3.5247     -1.6190      4.5288      3.5247  Siess     
    0.215000      3.5262     -1.6047      4.5289      3.5262  Siess     
    0.220000      3.5275     -1.5907      4.5289      3.5275  Siess     
    0.225000      3.5289     -1.5770      4.5290      3.5289  Siess     
    0.230000      3.5302     -1.5636      4.5290      3.5302  Siess     
    0.235000      3.5315     -1.5505      4.5291      3.5315  Siess     
    0.240000      3.5327     -1.5377      4.5291      3.5327  Siess     
    0.245000      3.5340     -1.5252      4.5292      3.5340  Siess     
    0.250000      3.5352     -1.5129      4.5292      3.5352  Siess     
    0.255000      3.5364     -1.5007      4.5296      3.5364  Siess     
    0.260000      3.5375     -1.4888      4.5300      3.5375  Siess     
    0.265000      3.5387     -1.4772      4.5304      3.5387  Siess     
    0.270000      3.5398     -1.4658      4.5307      3.5398  Siess     
    0.275000      3.5409     -1.4545      4.5311      3.5409  Siess     
    0.280000      3.5420     -1.4435      4.5315      3.5420  Siess     
    0.285000      3.5430     -1.4327      4.5318      3.5430  Siess     
