    # M_init       log T       log L       log g    log T WR  Source    
    # (Msun)    (Kelvin)      (Lsun)          ()    (Kelvin)  ()        
    0.100000      3.4887     -2.0027      4.4547      3.4887  Siess     
    0.105000      3.4910     -1.9704      4.4529      3.4910  Siess     
    0.110000      3.4932     -1.9395      4.4512      3.4932  Siess     
    0.115000      3.4953     -1.9101      4.4496      3.4953  Siess     
    0.120000      3.4974     -1.8819      4.4480      3.4974  Siess     
    0.125000      3.4993     -1.8548      4.4465      3.4993  Siess     
    0.130000      3.5012     -1.8288      4.4451      3.5012  Siess     
    0.135000      3.5028     -1.8063      4.4456      3.5028  Siess     
    0.140000      3.5044     -1.7847      4.4460      3.5044  Siess     
    0.145000      3.5060     -1.7638      4.4464      3.5060  Siess     
    0.150000      3.5075     -1.7436      4.4468      3.5075  Siess     
    0.155000      3.5089     -1.7241      4.4472      3.5089  Siess     
    0.160000      3.5103     -1.7052      4.4476      3.5103  Siess     
    0.165000      3.5118     -1.6877      4.4482      3.5118  Siess     
    0.170000      3.5133     -1.6706      4.4487      3.5133  Siess     
    0.175000      3.5147     -1.6541      4.4492      3.5147  Siess     
    0.180000      3.5161     -1.6380      4.4497      3.5161  Siess     
    0.185000      3.5174     -1.6224      4.4502      3.5174  Siess     
    0.190000      3.5187     -1.6072      4.4507      3.5187  Siess     
    0.195000      3.5200     -1.5923      4.4512      3.5200  Siess     
    0.200000      3.5212     -1.5779      4.4516      3.5212  Siess     
    0.205000      3.5226     -1.5629      4.4520      3.5226  Siess     
    0.210000      3.5240     -1.5483      4.4523      3.5240  Siess     
    0.215000      3.5254     -1.5340      4.4526      3.5254  Siess     
    0.220000      3.5267     -1.5201      4.4529      3.5267  Siess     
    0.225000      3.5280     -1.5065      4.4532      3.5280  Siess     
    0.230000      3.5293     -1.4931      4.4535      3.5293  Siess     
    0.235000      3.5305     -1.4801      4.4538      3.5305  Siess     
    0.240000      3.5317     -1.4673      4.4541      3.5317  Siess     
    0.245000      3.5329     -1.4548      4.4544      3.5329  Siess     
    0.250000      3.5341     -1.4426      4.4546      3.5341  Siess     
    0.255000      3.5353     -1.4308      4.4553      3.5353  Siess     
    0.260000      3.5364     -1.4193      4.4559      3.5364  Siess     
    0.265000      3.5376     -1.4080      4.4566      3.5376  Siess     
    0.270000      3.5387     -1.3969      4.4572      3.5387  Siess     
    0.275000      3.5398     -1.3860      4.4578      3.5398  Siess     
    0.280000      3.5408     -1.3753      4.4584      3.5408  Siess     
    0.285000      3.5419     -1.3647      4.4589      3.5419  Siess     
    0.290000      3.5429     -1.3544      4.4595      3.5429  Siess     
    0.295000      3.5439     -1.3443      4.4601      3.5439  Siess     
    0.300000      3.5449     -1.3343      4.4606      3.5449  Siess     
