    # M_init       log T       log L       log g    log T WR  Source    
    # (Msun)    (Kelvin)      (Lsun)          ()    (Kelvin)  ()        
    0.100000      3.4722     -1.1879      3.5400      3.4722  Siess     
    0.105000      3.4740     -1.1636      3.5437      3.4740  Siess     
    0.110000      3.4757     -1.1405      3.5473      3.4757  Siess     
    0.115000      3.4773     -1.1185      3.5507      3.4773  Siess     
    0.120000      3.4788     -1.0973      3.5539      3.4788  Siess     
    0.125000      3.4803     -1.0771      3.5570      3.4803  Siess     
    0.130000      3.4817     -1.0576      3.5600      3.4817  Siess     
    0.135000      3.4836     -1.0499      3.5769      3.4836  Siess     
    0.140000      3.4855     -1.0425      3.5932      3.4855  Siess     
    0.145000      3.4872     -1.0354      3.6089      3.4872  Siess     
    0.150000      3.4890     -1.0285      3.6241      3.4890  Siess     
    0.155000      3.4906     -1.0218      3.6388      3.4906  Siess     
    0.160000      3.4922     -1.0153      3.6531      3.4922  Siess     
    0.165000      3.4941     -1.0129      3.6727      3.4941  Siess     
    0.170000      3.4958     -1.0106      3.6917      3.4958  Siess     
    0.175000      3.4976     -1.0084      3.7102      3.4976  Siess     
    0.180000      3.4993     -1.0062      3.7281      3.4993  Siess     
    0.185000      3.5009     -1.0041      3.7456      3.5009  Siess     
    0.190000      3.5025     -1.0020      3.7626      3.5025  Siess     
    0.195000      3.5040     -1.0000      3.7792      3.5040  Siess     
    0.200000      3.5055     -0.9981      3.7953      3.5055  Siess     
    0.205000      3.5070     -0.9864      3.7992      3.5070  Siess     
    0.210000      3.5084     -0.9749      3.8030      3.5084  Siess     
    0.215000      3.5098     -0.9638      3.8067      3.5098  Siess     
    0.220000      3.5111     -0.9529      3.8104      3.5111  Siess     
    0.225000      3.5124     -0.9422      3.8139      3.5124  Siess     
    0.230000      3.5137     -0.9318      3.8174      3.5137  Siess     
    0.235000      3.5149     -0.9216      3.8208      3.5149  Siess     
    0.240000      3.5162     -0.9116      3.8241      3.5162  Siess     
    0.245000      3.5174     -0.9018      3.8274      3.5174  Siess     
    0.250000      3.5185     -0.8922      3.8306      3.5185  Siess     
    0.255000      3.5200     -0.8850      3.8370      3.5200  Siess     
    0.260000      3.5215     -0.8778      3.8434      3.5215  Siess     
    0.265000      3.5230     -0.8709      3.8496      3.5230  Siess     
    0.270000      3.5244     -0.8640      3.8557      3.5244  Siess     
    0.275000      3.5258     -0.8573      3.8617      3.5258  Siess     
    0.280000      3.5272     -0.8507      3.8676      3.5272  Siess     
    0.285000      3.5285     -0.8442      3.8734      3.5285  Siess     
    0.290000      3.5299     -0.8378      3.8791      3.5299  Siess     
    0.295000      3.5312     -0.8315      3.8847      3.5312  Siess     
    0.300000      3.5325     -0.8254      3.8902      3.5325  Siess     
    0.305000      3.5339     -0.8161      3.8933      3.5339  Siess     
    0.310000      3.5353     -0.8069      3.8963      3.5353  Siess     
    0.315000      3.5367     -0.7979      3.8993      3.5367  Siess     
    0.320000      3.5381     -0.7890      3.9022      3.5381  Siess     
    0.325000      3.5395     -0.7803      3.9051      3.5395  Siess     
    0.330000      3.5408     -0.7717      3.9079      3.5408  Siess     
    0.335000      3.5421     -0.7633      3.9107      3.5421  Siess     
    0.340000      3.5434     -0.7549      3.9135      3.5434  Siess     
    0.345000      3.5447     -0.7467      3.9162      3.5447  Siess     
    0.350000      3.5460     -0.7386      3.9189      3.5460  Siess     
    0.355000      3.5472     -0.7306      3.9215      3.5472  Siess     
    0.360000      3.5484     -0.7228      3.9241      3.5484  Siess     
    0.365000      3.5496     -0.7150      3.9267      3.5496  Siess     
    0.370000      3.5508     -0.7073      3.9292      3.5508  Siess     
    0.375000      3.5520     -0.6998      3.9317      3.5520  Siess     
    0.380000      3.5532     -0.6923      3.9342      3.5532  Siess     
    0.385000      3.5543     -0.6850      3.9366      3.5543  Siess     
    0.390000      3.5554     -0.6777      3.9391      3.5554  Siess     
    0.395000      3.5566     -0.6706      3.9414      3.5566  Siess     
    0.400000      3.5577     -0.6635      3.9438      3.5577  Siess     
    0.405000      3.5586     -0.6557      3.9458      3.5586  Siess     
    0.410000      3.5596     -0.6480      3.9477      3.5596  Siess     
    0.415000      3.5606     -0.6404      3.9497      3.5606  Siess     
    0.420000      3.5615     -0.6330      3.9516      3.5615  Siess     
    0.425000      3.5624     -0.6255      3.9535      3.5624  Siess     
    0.430000      3.5634     -0.6182      3.9554      3.5634  Siess     
    0.435000      3.5643     -0.6110      3.9573      3.5643  Siess     
    0.440000      3.5652     -0.6038      3.9591      3.5652  Siess     
    0.445000      3.5661     -0.5968      3.9609      3.5661  Siess     
    0.450000      3.5670     -0.5898      3.9627      3.5670  Siess     
    0.455000      3.5678     -0.5829      3.9645      3.5678  Siess     
    0.460000      3.5687     -0.5760      3.9663      3.5687  Siess     
    0.465000      3.5696     -0.5693      3.9680      3.5696  Siess     
    0.470000      3.5704     -0.5626      3.9698      3.5704  Siess     
    0.475000      3.5712     -0.5560      3.9715      3.5712  Siess     
    0.480000      3.5721     -0.5494      3.9731      3.5721  Siess     
    0.485000      3.5729     -0.5429      3.9748      3.5729  Siess     
    0.490000      3.5737     -0.5365      3.9765      3.5737  Siess     
    0.495000      3.5745     -0.5302      3.9781      3.5745  Siess     
    0.500000      3.5753     -0.5239      3.9797      3.5753  Siess     
    0.505000      3.5760     -0.5174      3.9805      3.5760  Siess     
    0.510000      3.5767     -0.5110      3.9813      3.5767  Siess     
    0.515000      3.5774     -0.5047      3.9821      3.5774  Siess     
    0.520000      3.5781     -0.4984      3.9829      3.5781  Siess     
    0.525000      3.5788     -0.4922      3.9836      3.5788  Siess     
    0.530000      3.5795     -0.4861      3.9844      3.5795  Siess     
    0.535000      3.5802     -0.4800      3.9852      3.5802  Siess     
    0.540000      3.5809     -0.4740      3.9859      3.5809  Siess     
    0.545000      3.5815     -0.4680      3.9866      3.5815  Siess     
    0.550000      3.5822     -0.4621      3.9874      3.5822  Siess     
    0.555000      3.5828     -0.4562      3.9881      3.5828  Siess     
    0.560000      3.5835     -0.4504      3.9888      3.5835  Siess     
    0.565000      3.5841     -0.4446      3.9895      3.5841  Siess     
    0.570000      3.5848     -0.4389      3.9902      3.5848  Siess     
    0.575000      3.5854     -0.4332      3.9909      3.5854  Siess     
    0.580000      3.5860     -0.4276      3.9916      3.5860  Siess     
    0.585000      3.5866     -0.4220      3.9923      3.5866  Siess     
    0.590000      3.5873     -0.4165      3.9930      3.5873  Siess     
    0.595000      3.5879     -0.4110      3.9937      3.5879  Siess     
    0.600000      3.5885     -0.4056      3.9944      3.5885  Siess     
    0.605000      3.5891     -0.3992      3.9942      3.5891  Siess     
    0.610000      3.5897     -0.3929      3.9940      3.5897  Siess     
    0.615000      3.5904     -0.3866      3.9939      3.5904  Siess     
    0.620000      3.5910     -0.3803      3.9937      3.5910  Siess     
    0.625000      3.5916     -0.3741      3.9935      3.5916  Siess     
    0.630000      3.5922     -0.3680      3.9934      3.5922  Siess     
    0.635000      3.5928     -0.3619      3.9932      3.5928  Siess     
    0.640000      3.5934     -0.3558      3.9930      3.5934  Siess     
    0.645000      3.5940     -0.3498      3.9929      3.5940  Siess     
    0.650000      3.5946     -0.3438      3.9927      3.5946  Siess     
    0.655000      3.5952     -0.3379      3.9926      3.5952  Siess     
    0.660000      3.5958     -0.3321      3.9924      3.5958  Siess     
    0.665000      3.5964     -0.3262      3.9923      3.5964  Siess     
    0.670000      3.5969     -0.3204      3.9921      3.5969  Siess     
    0.675000      3.5975     -0.3147      3.9920      3.5975  Siess     
    0.680000      3.5981     -0.3090      3.9918      3.5981  Siess     
    0.685000      3.5986     -0.3034      3.9917      3.5986  Siess     
    0.690000      3.5992     -0.2977      3.9915      3.5992  Siess     
    0.695000      3.5998     -0.2922      3.9914      3.5998  Siess     
    0.700000      3.6003     -0.2866      3.9912      3.6003  Siess     
    0.705000      3.6008     -0.2831      3.9927      3.6008  Siess     
    0.710000      3.6014     -0.2797      3.9942      3.6014  Siess     
    0.715000      3.6019     -0.2762      3.9957      3.6019  Siess     
    0.720000      3.6024     -0.2728      3.9971      3.6024  Siess     
    0.725000      3.6029     -0.2694      3.9986      3.6029  Siess     
    0.730000      3.6035     -0.2660      4.0000      3.6035  Siess     
    0.735000      3.6040     -0.2626      4.0014      3.6040  Siess     
    0.740000      3.6045     -0.2593      4.0029      3.6045  Siess     
    0.745000      3.6050     -0.2560      4.0043      3.6050  Siess     
    0.750000      3.6055     -0.2527      4.0057      3.6055  Siess     
    0.755000      3.6060     -0.2494      4.0071      3.6060  Siess     
    0.760000      3.6065     -0.2461      4.0085      3.6065  Siess     
    0.765000      3.6070     -0.2429      4.0098      3.6070  Siess     
    0.770000      3.6075     -0.2397      4.0112      3.6075  Siess     
    0.775000      3.6080     -0.2365      4.0126      3.6080  Siess     
    0.780000      3.6085     -0.2334      4.0139      3.6085  Siess     
    0.785000      3.6089     -0.2302      4.0153      3.6089  Siess     
    0.790000      3.6094     -0.2271      4.0166      3.6094  Siess     
    0.795000      3.6099     -0.2240      4.0179      3.6099  Siess     
    0.800000      3.6104     -0.2209      4.0192      3.6104  Siess     
    0.805000      3.6109     -0.2169      4.0199      3.6109  Siess     
    0.810000      3.6114     -0.2128      4.0205      3.6114  Siess     
    0.815000      3.6119     -0.2088      4.0212      3.6119  Siess     
    0.820000      3.6124     -0.2049      4.0218      3.6124  Siess     
    0.825000      3.6128     -0.2009      4.0225      3.6128  Siess     
    0.830000      3.6133     -0.1970      4.0231      3.6133  Siess     
    0.835000      3.6138     -0.1931      4.0238      3.6138  Siess     
