    # M_init       log T       log L       log g    log T WR  Source    
    # (Msun)    (Kelvin)      (Lsun)          ()    (Kelvin)  ()        
    0.100000      3.4885     -1.8016      4.2460      3.4885  Siess     
    0.105000      3.4905     -1.7701      4.2443      3.4905  Siess     
    0.110000      3.4924     -1.7400      4.2426      3.4924  Siess     
    0.115000      3.4942     -1.7113      4.2411      3.4942  Siess     
    0.120000      3.4959     -1.6837      4.2396      3.4959  Siess     
    0.125000      3.4976     -1.6573      4.2382      3.4976  Siess     
    0.130000      3.4992     -1.6320      4.2368      3.4992  Siess     
    0.135000      3.5007     -1.6117      4.2379      3.5007  Siess     
    0.140000      3.5023     -1.5922      4.2389      3.5023  Siess     
    0.145000      3.5037     -1.5733      4.2399      3.5037  Siess     
    0.150000      3.5051     -1.5551      4.2408      3.5051  Siess     
    0.155000      3.5065     -1.5375      4.2418      3.5065  Siess     
    0.160000      3.5078     -1.5204      4.2427      3.5078  Siess     
    0.165000      3.5092     -1.5044      4.2449      3.5092  Siess     
    0.170000      3.5106     -1.4889      4.2472      3.5106  Siess     
    0.175000      3.5119     -1.4738      4.2493      3.5119  Siess     
    0.180000      3.5132     -1.4592      4.2514      3.5132  Siess     
    0.185000      3.5145     -1.4449      4.2534      3.5145  Siess     
    0.190000      3.5157     -1.4310      4.2554      3.5157  Siess     
    0.195000      3.5169     -1.4175      4.2573      3.5169  Siess     
    0.200000      3.5181     -1.4044      4.2592      3.5181  Siess     
    0.205000      3.5194     -1.3899      4.2598      3.5194  Siess     
    0.210000      3.5208     -1.3758      4.2604      3.5208  Siess     
    0.215000      3.5221     -1.3621      4.2609      3.5221  Siess     
    0.220000      3.5234     -1.3486      4.2615      3.5234  Siess     
    0.225000      3.5246     -1.3355      4.2620      3.5246  Siess     
    0.230000      3.5259     -1.3227      4.2626      3.5259  Siess     
    0.235000      3.5271     -1.3101      4.2631      3.5271  Siess     
    0.240000      3.5283     -1.2978      4.2636      3.5283  Siess     
    0.245000      3.5294     -1.2857      4.2641      3.5294  Siess     
    0.250000      3.5306     -1.2739      4.2646      3.5306  Siess     
    0.255000      3.5318     -1.2628      4.2658      3.5318  Siess     
    0.260000      3.5330     -1.2520      4.2669      3.5330  Siess     
    0.265000      3.5342     -1.2413      4.2680      3.5342  Siess     
    0.270000      3.5354     -1.2309      4.2690      3.5354  Siess     
    0.275000      3.5365     -1.2206      4.2701      3.5365  Siess     
    0.280000      3.5376     -1.2105      4.2711      3.5376  Siess     
    0.285000      3.5388     -1.2006      4.2721      3.5388  Siess     
    0.290000      3.5398     -1.1909      4.2731      3.5398  Siess     
    0.295000      3.5409     -1.1813      4.2741      3.5409  Siess     
    0.300000      3.5420     -1.1719      4.2751      3.5420  Siess     
    0.305000      3.5431     -1.1619      4.2768      3.5431  Siess     
    0.310000      3.5442     -1.1520      4.2786      3.5442  Siess     
    0.315000      3.5453     -1.1422      4.2803      3.5453  Siess     
    0.320000      3.5464     -1.1327      4.2819      3.5464  Siess     
    0.325000      3.5475     -1.1232      4.2836      3.5475  Siess     
    0.330000      3.5486     -1.1139      4.2852      3.5486  Siess     
    0.335000      3.5496     -1.1048      4.2868      3.5496  Siess     
    0.340000      3.5506     -1.0958      4.2884      3.5506  Siess     
    0.345000      3.5516     -1.0869      4.2899      3.5516  Siess     
    0.350000      3.5526     -1.0781      4.2914      3.5526  Siess     
    0.355000      3.5536     -1.0695      4.2929      3.5536  Siess     
    0.360000      3.5546     -1.0610      4.2944      3.5546  Siess     
    0.365000      3.5555     -1.0526      4.2959      3.5555  Siess     
    0.370000      3.5565     -1.0443      4.2973      3.5565  Siess     
    0.375000      3.5574     -1.0361      4.2988      3.5574  Siess     
    0.380000      3.5583     -1.0281      4.3002      3.5583  Siess     
    0.385000      3.5592     -1.0201      4.3016      3.5592  Siess     
    0.390000      3.5601     -1.0123      4.3029      3.5601  Siess     
    0.395000      3.5610     -1.0045      4.3043      3.5610  Siess     
    0.400000      3.5619     -0.9969      4.3056      3.5619  Siess     
    0.405000      3.5626     -0.9888      4.3068      3.5626  Siess     
    0.410000      3.5634     -0.9809      4.3079      3.5634  Siess     
    0.415000      3.5642     -0.9730      4.3091      3.5642  Siess     
    0.420000      3.5649     -0.9653      4.3102      3.5649  Siess     
    0.425000      3.5656     -0.9576      4.3113      3.5656  Siess     
    0.430000      3.5664     -0.9500      4.3124      3.5664  Siess     
    0.435000      3.5671     -0.9425      4.3135      3.5671  Siess     
    0.440000      3.5678     -0.9351      4.3146      3.5678  Siess     
    0.445000      3.5685     -0.9278      4.3156      3.5685  Siess     
    0.450000      3.5692     -0.9206      4.3167      3.5692  Siess     
    0.455000      3.5699     -0.9134      4.3177      3.5699  Siess     
    0.460000      3.5706     -0.9063      4.3187      3.5706  Siess     
    0.465000      3.5712     -0.8993      4.3197      3.5712  Siess     
    0.470000      3.5719     -0.8924      4.3207      3.5719  Siess     
    0.475000      3.5725     -0.8855      4.3217      3.5725  Siess     
    0.480000      3.5732     -0.8788      4.3227      3.5732  Siess     
    0.485000      3.5738     -0.8721      4.3237      3.5738  Siess     
    0.490000      3.5745     -0.8654      4.3246      3.5745  Siess     
    0.495000      3.5751     -0.8588      4.3256      3.5751  Siess     
    0.500000      3.5757     -0.8523      4.3265      3.5757  Siess     
    0.505000      3.5763     -0.8458      4.3270      3.5763  Siess     
    0.510000      3.5769     -0.8393      4.3275      3.5769  Siess     
    0.515000      3.5775     -0.8329      4.3280      3.5775  Siess     
    0.520000      3.5781     -0.8266      4.3285      3.5781  Siess     
    0.525000      3.5786     -0.8203      4.3290      3.5786  Siess     
    0.530000      3.5792     -0.8141      4.3294      3.5792  Siess     
    0.535000      3.5798     -0.8080      4.3299      3.5798  Siess     
    0.540000      3.5803     -0.8019      4.3303      3.5803  Siess     
    0.545000      3.5809     -0.7958      4.3308      3.5809  Siess     
    0.550000      3.5814     -0.7898      4.3313      3.5814  Siess     
    0.555000      3.5820     -0.7839      4.3317      3.5820  Siess     
    0.560000      3.5825     -0.7780      4.3321      3.5825  Siess     
    0.565000      3.5830     -0.7722      4.3326      3.5830  Siess     
    0.570000      3.5835     -0.7664      4.3330      3.5835  Siess     
    0.575000      3.5841     -0.7607      4.3335      3.5841  Siess     
    0.580000      3.5846     -0.7550      4.3339      3.5846  Siess     
    0.585000      3.5851     -0.7494      4.3343      3.5851  Siess     
    0.590000      3.5856     -0.7438      4.3347      3.5856  Siess     
    0.595000      3.5861     -0.7383      4.3351      3.5861  Siess     
    0.600000      3.5866     -0.7328      4.3356      3.5866  Siess     
    0.605000      3.5871     -0.7267      4.3355      3.5871  Siess     
    0.610000      3.5877     -0.7207      4.3355      3.5877  Siess     
    0.615000      3.5882     -0.7148      4.3355      3.5882  Siess     
    0.620000      3.5887     -0.7089      4.3355      3.5887  Siess     
    0.625000      3.5893     -0.7031      4.3355      3.5893  Siess     
    0.630000      3.5898     -0.6973      4.3354      3.5898  Siess     
    0.635000      3.5903     -0.6915      4.3354      3.5903  Siess     
    0.640000      3.5908     -0.6858      4.3354      3.5908  Siess     
    0.645000      3.5913     -0.6802      4.3354      3.5913  Siess     
    0.650000      3.5918     -0.6745      4.3354      3.5918  Siess     
    0.655000      3.5923     -0.6690      4.3354      3.5923  Siess     
    0.660000      3.5928     -0.6634      4.3353      3.5928  Siess     
    0.665000      3.5933     -0.6579      4.3353      3.5933  Siess     
    0.670000      3.5938     -0.6525      4.3353      3.5938  Siess     
    0.675000      3.5943     -0.6471      4.3353      3.5943  Siess     
    0.680000      3.5948     -0.6417      4.3353      3.5948  Siess     
    0.685000      3.5952     -0.6364      4.3352      3.5952  Siess     
    0.690000      3.5957     -0.6311      4.3352      3.5957  Siess     
    0.695000      3.5962     -0.6259      4.3352      3.5962  Siess     
    0.700000      3.5966     -0.6206      4.3352      3.5966  Siess     
    0.705000      3.5972     -0.6158      4.3355      3.5972  Siess     
    0.710000      3.5978     -0.6110      4.3359      3.5978  Siess     
