    # M_init       log T       log L       log g    log T WR  Source    
    # (Msun)    (Kelvin)      (Lsun)          ()    (Kelvin)  ()        
    0.100000      3.4874     -1.7191      4.1567      3.4874  Siess     
    0.105000      3.4893     -1.6878      4.1540      3.4893  Siess     
    0.110000      3.4911     -1.6579      4.1515      3.4911  Siess     
    0.115000      3.4928     -1.6293      4.1490      3.4928  Siess     
    0.120000      3.4944     -1.6020      4.1467      3.4944  Siess     
    0.125000      3.4960     -1.5758      4.1445      3.4960  Siess     
    0.130000      3.4975     -1.5506      4.1423      3.4975  Siess     
    0.135000      3.4990     -1.5313      4.1452      3.4990  Siess     
    0.140000      3.5005     -1.5128      4.1479      3.5005  Siess     
    0.145000      3.5019     -1.4949      4.1505      3.5019  Siess     
    0.150000      3.5032     -1.4776      4.1530      3.5032  Siess     
    0.155000      3.5046     -1.4609      4.1555      3.5046  Siess     
    0.160000      3.5058     -1.4447      4.1579      3.5058  Siess     
    0.165000      3.5073     -1.4298      4.1617      3.5073  Siess     
    0.170000      3.5088     -1.4153      4.1655      3.5088  Siess     
    0.175000      3.5102     -1.4012      4.1691      3.5102  Siess     
    0.180000      3.5115     -1.3875      4.1726      3.5115  Siess     
    0.185000      3.5128     -1.3741      4.1761      3.5128  Siess     
    0.190000      3.5141     -1.3612      4.1794      3.5141  Siess     
    0.195000      3.5154     -1.3485      4.1827      3.5154  Siess     
    0.200000      3.5166     -1.3362      4.1859      3.5166  Siess     
    0.205000      3.5180     -1.3220      4.1867      3.5180  Siess     
    0.210000      3.5193     -1.3082      4.1876      3.5193  Siess     
    0.215000      3.5206     -1.2947      4.1884      3.5206  Siess     
    0.220000      3.5218     -1.2814      4.1892      3.5218  Siess     
    0.225000      3.5231     -1.2685      4.1900      3.5231  Siess     
    0.230000      3.5243     -1.2559      4.1907      3.5243  Siess     
    0.235000      3.5254     -1.2435      4.1915      3.5254  Siess     
    0.240000      3.5266     -1.2314      4.1922      3.5266  Siess     
    0.245000      3.5277     -1.2196      4.1929      3.5277  Siess     
    0.250000      3.5288     -1.2080      4.1936      3.5288  Siess     
    0.255000      3.5301     -1.1973      4.1953      3.5301  Siess     
    0.260000      3.5313     -1.1868      4.1970      3.5313  Siess     
    0.265000      3.5325     -1.1765      4.1987      3.5325  Siess     
    0.270000      3.5337     -1.1664      4.2003      3.5337  Siess     
    0.275000      3.5348     -1.1564      4.2019      3.5348  Siess     
    0.280000      3.5360     -1.1467      4.2034      3.5360  Siess     
    0.285000      3.5371     -1.1371      4.2050      3.5371  Siess     
    0.290000      3.5382     -1.1277      4.2065      3.5382  Siess     
    0.295000      3.5393     -1.1185      4.2079      3.5393  Siess     
    0.300000      3.5403     -1.1094      4.2094      3.5403  Siess     
    0.305000      3.5415     -1.0995      4.2108      3.5415  Siess     
    0.310000      3.5427     -1.0897      4.2121      3.5427  Siess     
    0.315000      3.5438     -1.0801      4.2135      3.5438  Siess     
    0.320000      3.5449     -1.0706      4.2148      3.5449  Siess     
    0.325000      3.5460     -1.0613      4.2161      3.5460  Siess     
    0.330000      3.5471     -1.0522      4.2174      3.5471  Siess     
    0.335000      3.5482     -1.0431      4.2187      3.5482  Siess     
    0.340000      3.5492     -1.0342      4.2199      3.5492  Siess     
    0.345000      3.5503     -1.0255      4.2212      3.5503  Siess     
    0.350000      3.5513     -1.0168      4.2224      3.5513  Siess     
    0.355000      3.5523     -1.0083      4.2236      3.5523  Siess     
    0.360000      3.5533     -0.9999      4.2247      3.5533  Siess     
    0.365000      3.5543     -0.9916      4.2259      3.5543  Siess     
    0.370000      3.5553     -0.9835      4.2271      3.5553  Siess     
    0.375000      3.5562     -0.9754      4.2282      3.5562  Siess     
    0.380000      3.5572     -0.9674      4.2293      3.5572  Siess     
    0.385000      3.5581     -0.9596      4.2304      3.5581  Siess     
    0.390000      3.5590     -0.9518      4.2315      3.5590  Siess     
    0.395000      3.5599     -0.9442      4.2326      3.5599  Siess     
    0.400000      3.5608     -0.9366      4.2336      3.5608  Siess     
    0.405000      3.5616     -0.9286      4.2351      3.5616  Siess     
    0.410000      3.5624     -0.9206      4.2366      3.5624  Siess     
    0.415000      3.5633     -0.9128      4.2381      3.5633  Siess     
    0.420000      3.5640     -0.9050      4.2396      3.5640  Siess     
    0.425000      3.5648     -0.8974      4.2410      3.5648  Siess     
    0.430000      3.5656     -0.8898      4.2425      3.5656  Siess     
    0.435000      3.5664     -0.8823      4.2439      3.5664  Siess     
    0.440000      3.5671     -0.8749      4.2453      3.5671  Siess     
    0.445000      3.5679     -0.8675      4.2466      3.5679  Siess     
    0.450000      3.5686     -0.8603      4.2480      3.5686  Siess     
    0.455000      3.5694     -0.8531      4.2493      3.5694  Siess     
    0.460000      3.5701     -0.8461      4.2507      3.5701  Siess     
    0.465000      3.5708     -0.8391      4.2520      3.5708  Siess     
    0.470000      3.5715     -0.8321      4.2533      3.5715  Siess     
    0.475000      3.5722     -0.8253      4.2546      3.5722  Siess     
    0.480000      3.5729     -0.8185      4.2559      3.5729  Siess     
    0.485000      3.5736     -0.8118      4.2571      3.5736  Siess     
    0.490000      3.5743     -0.8051      4.2584      3.5743  Siess     
    0.495000      3.5750     -0.7985      4.2596      3.5750  Siess     
    0.500000      3.5756     -0.7920      4.2609      3.5756  Siess     
    0.505000      3.5763     -0.7855      4.2616      3.5763  Siess     
    0.510000      3.5769     -0.7791      4.2624      3.5769  Siess     
    0.515000      3.5775     -0.7727      4.2632      3.5775  Siess     
    0.520000      3.5781     -0.7664      4.2639      3.5781  Siess     
    0.525000      3.5787     -0.7602      4.2647      3.5787  Siess     
    0.530000      3.5792     -0.7540      4.2654      3.5792  Siess     
    0.535000      3.5798     -0.7479      4.2662      3.5798  Siess     
    0.540000      3.5804     -0.7418      4.2669      3.5804  Siess     
    0.545000      3.5810     -0.7358      4.2676      3.5810  Siess     
    0.550000      3.5815     -0.7298      4.2683      3.5815  Siess     
    0.555000      3.5821     -0.7239      4.2690      3.5821  Siess     
    0.560000      3.5827     -0.7181      4.2697      3.5827  Siess     
    0.565000      3.5832     -0.7123      4.2704      3.5832  Siess     
    0.570000      3.5837     -0.7065      4.2711      3.5837  Siess     
    0.575000      3.5843     -0.7008      4.2718      3.5843  Siess     
    0.580000      3.5848     -0.6952      4.2725      3.5848  Siess     
    0.585000      3.5853     -0.6896      4.2732      3.5853  Siess     
    0.590000      3.5859     -0.6840      4.2738      3.5859  Siess     
    0.595000      3.5864     -0.6785      4.2745      3.5864  Siess     
