    # M_init       log T       log L       log g    log T WR  Source    
    # (Msun)    (Kelvin)      (Lsun)          ()    (Kelvin)  ()        
    0.100000      3.4644     -1.0214      3.3362      3.4644  Siess     
    0.105000      3.4663     -0.9983      3.3407      3.4663  Siess     
    0.110000      3.4680     -0.9763      3.3450      3.4680  Siess     
    0.115000      3.4697     -0.9553      3.3492      3.4697  Siess     
    0.120000      3.4712     -0.9351      3.3531      3.4712  Siess     
    0.125000      3.4728     -0.9158      3.3569      3.4728  Siess     
    0.130000      3.4742     -0.8973      3.3605      3.4742  Siess     
    0.135000      3.4756     -0.8748      3.3604      3.4756  Siess     
    0.140000      3.4769     -0.8531      3.3604      3.4769  Siess     
    0.145000      3.4782     -0.8322      3.3603      3.4782  Siess     
    0.150000      3.4794     -0.8120      3.3602      3.4794  Siess     
    0.155000      3.4806     -0.7925      3.3602      3.4806  Siess     
    0.160000      3.4817     -0.7735      3.3601      3.4817  Siess     
    0.165000      3.4824     -0.7357      3.3372      3.4824  Siess     
    0.170000      3.4831     -0.6990      3.3149      3.4831  Siess     
    0.175000      3.4838     -0.6633      3.2934      3.4838  Siess     
    0.180000      3.4845     -0.6286      3.2724      3.4845  Siess     
    0.185000      3.4851     -0.5949      3.2520      3.4851  Siess     
    0.190000      3.4857     -0.5621      3.2321      3.4857  Siess     
    0.195000      3.4863     -0.5302      3.2127      3.4863  Siess     
    0.200000      3.4869     -0.4990      3.1939      3.4869  Siess     
    0.205000      3.4892     -0.4868      3.2012      3.4892  Siess     
    0.210000      3.4914     -0.4749      3.2083      3.4914  Siess     
    0.215000      3.4936     -0.4633      3.2153      3.4936  Siess     
    0.220000      3.4957     -0.4519      3.2221      3.4957  Siess     
    0.225000      3.4978     -0.4408      3.2288      3.4978  Siess     
    0.230000      3.4999     -0.4299      3.2353      3.4999  Siess     
    0.235000      3.5019     -0.4193      3.2417      3.5019  Siess     
    0.240000      3.5038     -0.4089      3.2479      3.5038  Siess     
    0.245000      3.5057     -0.3987      3.2540      3.5057  Siess     
    0.250000      3.5076     -0.3887      3.2600      3.5076  Siess     
    0.255000      3.5097     -0.3566      3.2448      3.5097  Siess     
    0.260000      3.5117     -0.3251      3.2299      3.5117  Siess     
    0.265000      3.5137     -0.2942      3.2153      3.5137  Siess     
    0.270000      3.5157     -0.2639      3.2009      3.5157  Siess     
    0.275000      3.5176     -0.2342      3.1868      3.5176  Siess     
    0.280000      3.5195     -0.2050      3.1730      3.5195  Siess     
    0.285000      3.5213     -0.1763      3.1594      3.5213  Siess     
    0.290000      3.5232     -0.1481      3.1460      3.5232  Siess     
    0.295000      3.5250     -0.1204      3.1329      3.5250  Siess     
    0.300000      3.5267     -0.0931      3.1200      3.5267  Siess     
    0.305000      3.5284     -0.0776      3.1185      3.5284  Siess     
    0.310000      3.5301     -0.0624      3.1170      3.5301  Siess     
    0.315000      3.5318     -0.0474      3.1156      3.5318  Siess     
    0.320000      3.5334     -0.0326      3.1141      3.5334  Siess     
    0.325000      3.5350     -0.0181      3.1127      3.5350  Siess     
    0.330000      3.5366     -0.0037      3.1113      3.5366  Siess     
    0.335000      3.5382      0.0104      3.1099      3.5382  Siess     
    0.340000      3.5397      0.0242      3.1086      3.5397  Siess     
    0.345000      3.5412      0.0379      3.1073      3.5412  Siess     
    0.350000      3.5427      0.0514      3.1059      3.5427  Siess     
    0.355000      3.5442      0.0647      3.1047      3.5442  Siess     
    0.360000      3.5456      0.0778      3.1034      3.5456  Siess     
    0.365000      3.5471      0.0908      3.1021      3.5471  Siess     
    0.370000      3.5485      0.1035      3.1009      3.5485  Siess     
    0.375000      3.5499      0.1161      3.0997      3.5499  Siess     
    0.380000      3.5512      0.1285      3.0984      3.5512  Siess     
    0.385000      3.5526      0.1408      3.0973      3.5526  Siess     
    0.390000      3.5539      0.1529      3.0961      3.5539  Siess     
    0.395000      3.5552      0.1648      3.0949      3.5552  Siess     
    0.400000      3.5565      0.1766      3.0938      3.5565  Siess     
    0.405000      3.5577      0.1836      3.0969      3.5577  Siess     
    0.410000      3.5588      0.1904      3.1000      3.5588  Siess     
    0.415000      3.5599      0.1972      3.1030      3.5599  Siess     
    0.420000      3.5610      0.2039      3.1061      3.5610  Siess     
    0.425000      3.5620      0.2105      3.1090      3.5620  Siess     
    0.430000      3.5631      0.2171      3.1120      3.5631  Siess     
    0.435000      3.5642      0.2235      3.1149      3.5642  Siess     
    0.440000      3.5652      0.2299      3.1178      3.5652  Siess     
    0.445000      3.5662      0.2362      3.1206      3.5662  Siess     
    0.450000      3.5672      0.2425      3.1234      3.5672  Siess     
    0.455000      3.5682      0.2487      3.1262      3.5682  Siess     
    0.460000      3.5692      0.2548      3.1290      3.5692  Siess     
    0.465000      3.5702      0.2608      3.1317      3.5702  Siess     
    0.470000      3.5712      0.2668      3.1344      3.5712  Siess     
    0.475000      3.5721      0.2727      3.1371      3.5721  Siess     
    0.480000      3.5731      0.2786      3.1397      3.5731  Siess     
    0.485000      3.5740      0.2844      3.1423      3.5740  Siess     
    0.490000      3.5750      0.2901      3.1449      3.5750  Siess     
    0.495000      3.5759      0.2958      3.1475      3.5759  Siess     
    0.500000      3.5768      0.3014      3.1500      3.5768  Siess     
    0.505000      3.5777      0.3032      3.1561      3.5777  Siess     
    0.510000      3.5785      0.3050      3.1622      3.5785  Siess     
    0.515000      3.5794      0.3067      3.1683      3.5794  Siess     
    0.520000      3.5802      0.3085      3.1742      3.5802  Siess     
    0.525000      3.5811      0.3102      3.1801      3.5811  Siess     
    0.530000      3.5819      0.3119      3.1860      3.5819  Siess     
    0.535000      3.5827      0.3136      3.1918      3.5827  Siess     
    0.540000      3.5835      0.3153      3.1975      3.5835  Siess     
    0.545000      3.5843      0.3169      3.2032      3.5843  Siess     
    0.550000      3.5851      0.3186      3.2088      3.5851  Siess     
    0.555000      3.5859      0.3202      3.2144      3.5859  Siess     
    0.560000      3.5867      0.3218      3.2200      3.5867  Siess     
    0.565000      3.5874      0.3234      3.2255      3.5874  Siess     
    0.570000      3.5882      0.3250      3.2309      3.5882  Siess     
    0.575000      3.5890      0.3266      3.2363      3.5890  Siess     
    0.580000      3.5897      0.3282      3.2416      3.5897  Siess     
    0.585000      3.5905      0.3297      3.2469      3.5905  Siess     
    0.590000      3.5912      0.3312      3.2522      3.5912  Siess     
    0.595000      3.5919      0.3328      3.2574      3.5919  Siess     
    0.600000      3.5927      0.3343      3.2626      3.5927  Siess     
    0.605000      3.5932      0.3467      3.2558      3.5932  Siess     
    0.610000      3.5937      0.3590      3.2490      3.5937  Siess     
    0.615000      3.5943      0.3712      3.2423      3.5943  Siess     
    0.620000      3.5948      0.3833      3.2357      3.5948  Siess     
    0.625000      3.5953      0.3954      3.2291      3.5953  Siess     
    0.630000      3.5958      0.4073      3.2226      3.5958  Siess     
    0.635000      3.5963      0.4191      3.2161      3.5963  Siess     
    0.640000      3.5968      0.4309      3.2097      3.5968  Siess     
    0.645000      3.5973      0.4425      3.2033      3.5973  Siess     
    0.650000      3.5978      0.4541      3.1970      3.5978  Siess     
